Organisational Code,Organisation Name,Reference no,Lot title,Lot description,Company name,Registration number,SME,VCS,Contact name,Postcode,Reference no2,Lots,Title,Department,Buyer,Description,Description of the geographical coverage,Start date,End date,Awarded date,Review date,Appraisal date,Display until date,Visibility,Initial contract period (months),Total option to extend (months),Total contract period (months),Available No. of Ext.,Available extension details,Taken No. of Ext.,Taken Extension details,Estimated value,Estimated annual value,VAT not recovered,Internal ID,Primary contact,Process used,OJEU,Open to other organisations,Participating organisations,Central purchasing body,Framework type,Keywords,Categories,Public notes,Portal notes,Private notes
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN440337, N/A , N/A , Jim Williams Services , N/A ,FALSE, N/A ,Redacted, BS30 9ST,DN440337,1,Music Services for Bristol Crematoria,Growth & Regeration,Bristol City Council,Music Services for Bristol Crematoria,,44013,45107,44011,44742,,45107,Organisation,36,24,60,2,"Period: 12 months | Estimated start date: 01/07/2023 | Estimated end date: 30/06/2024 | Comment: Option year 1, Period: 12 months | Estimated start date: 01/07/2024 | Estimated end date: 30/06/2025 | Comment: Option year 2",0,,"£310,000.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,,85171500 - Funeral and associated services,,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN444602, N/A , N/A , Civica UK Limited ,1628868,FALSE,  ,Redacted, SE1 9LQ,DN444602,1,The provision of Payment and Merchant Acquring Services,Resources,Bristol City Council,"This contract provides a corporate Merchant Acquirer and Payment Service Provider to the Council. The solution will provide the following payment services allowing citizens to pay for a wide variety of Council products, bills, fines and services:

• Automated Telephone Payment Service
• Voice telephone payment service
• Online Payments digital service
• Direct Debits Managed Service
• Paperless direct debit mandate digital service
• Card payment processing including Merchant Acquirer
• Chip and Pin Payments Service",,44089,46112,44089,45383,,46112,Organisation,66,24,90,2,"Period: 12 months | Estimated start date: 01/04/2026 | Estimated end date: 31/03/2027 | Comment: This option is linked to the Go Live date. If there is a delay then this term should be aligned to the update Go Live date. i.e. the term of this contract is the term of the implementation date then 5 years from Go Live, then 2 x 12 month options from the 5th anniversary of Go Live., Period: 12 months | Estimated start date: 01/04/2027 | Estimated end date: 31/03/2028 | Comment: This option is linked to the Go Live date. If there is a delay then this term should be aligned to the update Go Live date. i.e. the term of this contract is the term of the implementation date then 5 years from Go Live, then 2 x 12 month options from the 5th anniversary of Go Live.",0,,"£5,000,000.00","£700,000.00",£0.00,,Redacted,ITT,Yes,No,,Bristol City Council,N/A,,"84101700 - Debt management, 84121500 - Banking institutions",,,"Please note that the contract term is constructed to so that the implementation activities culminate in a 'Go Live' event upon which the 5 year term of the contract then commences. At the time of the publication of this notice this was anticipated as being 01/04/2021.
The option years (2 x 12 months) are set for commencement from the 5th anniversary of the Go Live date, therefore if the Go Live date is delayed or amended, then the dates on the above should be updated accordingly."
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN450384, N/A , N/A , Centre for Sustainable Energy ,2219673,FALSE, N/A ,Redacted, BS1 3LH,DN450384,1,Tenants Energy Efficiency Independent Advice Service,Growth & Regeration,Bristol City Council,Tenants Energy Efficiency Independent Advice Service,,44013,45474,43937,44200,,45504,Public,48,24,72,2,,0,,"£400,000.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,,"81102400 - Electrical power transmission engineering, 83101900 - Energy conservation",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN454915, N/A , N/A , Personnel Hygiene Services ltd trading as PHS Group plc ,770813,FALSE, N/A ,Redacted, CF83 1XH,DN454915,1,Refurbishment of Safety Surfacing,Growth & Regeration,Bristol City Council,"Supply and installation of interlocking safety surfacing for the following sites: - 
•	St Pauls Park, Wilson Street, BS2 9JR, 
•	Victoria Park, BS3 4SN, 
•	Springfield Avenue, Shirehampton, 
•	Greville Smyth Park, BS3 2EQ, 
•	St Anne’s Park,  BS11 9TG, 
•	Fallodon Road Park, BS9 4HF, 
•	Gaunts Ham Park, BS5 0DN 
Along with the removal and disposal of existing surfacing.",,44074,44165,43964,44137,,44165,Public,3,N/A,3,,,0,,"£85,672.20",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,Framework,,,,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN463130, N/A , N/A , Carolines Creches , N/A ,FALSE, N/A ,Redacted, BS5 7SU,DN463130,1,Mobile Creche Service,People,Bristol City Council,The aim of the service is to provide a safe and secure mobile crèche provision at a variety of community venues across Bristol which will allow parents/carers to access training and development opportunities. To ensure childcare is accessible we use mobile crèche services linked directly to a course; it runs at the same time and in the same location as the course.,,44075,45169,44025,45054,,45169,Public,36,12,48,1,,0,,"£400,000.00",£0.00,£0.00,CPG2041-A,Redacted,ITT,No,No,,Bristol City Council,Framework,,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN463130, N/A , N/A , Celebration Creches , N/A ,FALSE, N/A ,Redacted, BS16 5PD,DN463130,1,Mobile Creche Service,People,Bristol City Council,The aim of the service is to provide a safe and secure mobile crèche provision at a variety of community venues across Bristol which will allow parents/carers to access training and development opportunities. To ensure childcare is accessible we use mobile crèche services linked directly to a course; it runs at the same time and in the same location as the course.,,44075,45169,44025,45054,,45169,Public,36,12,48,1,,0,,"£400,000.00",£0.00,£0.00,CPG2041-A,Redacted,ITT,No,No,,Bristol City Council,Framework,,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN463385, N/A , N/A , KOMPAN Ltd ,1704623,FALSE, N/A ,Redacted, MK5 8HL,DN463385,1,Multi-Play Unit and Safety Surfacing in Mowbray Road Play Area,Growth & Regeration,Bristol City Council,"Design and build new equipment into the existing children’s play area at Mowbray Road Park, Hengrove, South Bristol, BS14 9BB.",,44075,44166,43945,44137,,44166,Public,3,N/A,3,,,0,,"£25,898.95",£0.00,£0.00,,Redacted,"Other (Mini Competition using an existing Framework Agreement – Lot 2 (Play Ground Equipment – Larger Authority/Large Projects) of ESPO Framework 115 - Outdoor playground, fitness and sports facilities)",No,No,,Bristol City Council,N/A,,"49241500 - Playground equipment, 72141500 - Land preparation services, 72153900 - Building site preparation services",,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN463548, N/A , N/A , Bristol Black Carers Support Services , Unknown ,FALSE,  ,Redacted, Unknown,DN463548,1,Carers Support Service Extension due to PEP and COVID 19 ( Bristol Black Carers),People,Bristol City Council,Carers Support Service Extension due to PEP ( Bristol Black Carers),,44013,44561,43871,44105,,44286,Public,18,N/A,18,,,0,,"£90,879.00",£0.00,£0.00,PR0401,Redacted,Other (Rule Breach),No,No,,Bristol City Council,N/A,,,,,
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN463670, N/A , N/A , Datrix Limited ,2980574,FALSE,  ,Redacted, EC1R 5DB,DN463670,1,Network Switches BCC CCTV Network,Growth & Regeration,Bristol City Council,Network switches and related services.,,44040,45104,44040,44770,,45107,Organisation,35,N/A,35,,,0,,"£400,000.00",£0.00,£0.00,,Redacted,RFQ,No,No,,Bristol City Council,N/A,,"83110000 - Telecommunications media services, 71151000 - Oilfield information management and communications services, 81111800 - System and system component administration services, 81161700 - Telecommunication Services, 83111500 - Local and long distance telephone communications, 83112200 - Enhanced telecommunications services, 83112300 - Fiber telecommunications services, 83112400 - Switched dial up and leased dedicated line circuit telecommunications services",,,Awarded under RM3808 Lot 2 following a desk top evaluation direct award process.
http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",DN465107, N/A , N/A , Priory North Hill School , XX ,FALSE,  ,Redacted, BA11 2HB,DN465107,1,SEND Independent Non Maintained School Placement Request - DF Priory North Hill House,People,Bristol City Council,SEND placement,,44075,44409,43878,44236,,44804,Public,12,12,24,1,Period: 12 months | Estimated start date: 01/09/2021 | Estimated end date: 31/08/2022 | Comment: 1st Year,0,,"£235,449.00",£0.00,£0.00,,Redacted,Other (Direct Award),No,No,,Bristol City Council,N/A,,"93140000 - Community and social services, 85000000 - Healthcare Services",,,
