'Supplier Name','Order Number','Order Date','Delivery Date','Originator Name','Order Requisition No.','Supplier Code','Order Value','Order Status','6CCN - Level 6 Cost Centre Name','9AN - Level 9 Account Name','PO Line Number','Item Description','Item Delivery Date'
'Baker Tilly','P004216','2014/08/19 00:00:00','2014/08/20 00:00:00','Pauline Druce','R005255','231150','11125','Complete','Refuse Collection & Recycling','Technical Support','2','Waste Contract 2014 Travel Expenses','2014/08/26 00:00:00'
'Mcpc Systems (Uk) Ltd','P004247','2014/08/26 00:00:00','2014/10/10 00:00:00','Pauline Druce','R005293','MCPC SYS','5303','Complete','Beaches & Foreshores','It Software Annual Costs','1','DTE Beach Huts V3 Annual Support 2014/15','2014/10/10 00:00:00'
'A&C Weber Uk','P004231','2014/08/22 00:00:00','2014/09/30 00:00:00','Pauline Druce','R005274','308600','6695','Complete','Refuse Collection & Recycling','Equipment & Plant Purchase','2','1100 lt Wheeled bin with lock','2014/09/30 00:00:00'
'Mcpc Systems (Uk) Ltd','P004247','2014/08/26 00:00:00','2014/10/10 00:00:00','Pauline Druce','R005293','MCPC SYS','5303','Complete','Parks And Pleasure Grounds','It Software Annual Costs','3','DTE Grounds Annual Support 2014/15','2014/10/10 00:00:00'
'Glasdon U.K. Limited','P004228','2014/08/21 00:00:00','2014/08/22 00:00:00','Mike Vine','R005271','600410','6763.65','Complete','Parks And Pleasure Grounds','Materials','1','RECYCLED SEATS','2014/09/15 00:00:00'
'Baker Tilly','P004216','2014/08/19 00:00:00','2014/08/20 00:00:00','Pauline Druce','R005255','231150','11125','Complete','Refuse Collection & Recycling','Technical Support','1','Waste Contract Advisory Service Fee','2014/08/26 00:00:00'
'Hags-Smp','P004242','2014/08/26 00:00:00','2014/08/27 00:00:00','David Cook','R005288','817981','14599.96','Complete','Tax & Nonspecific Grant Income','Capital Grants','1','Stowford gym equipment, Sidmouth.','2014/10/31 00:00:00'
'A&C Weber Uk','P004231','2014/08/22 00:00:00','2014/09/30 00:00:00','Pauline Druce','R005274','308600','6695','Complete','Refuse Collection & Recycling','Equipment & Plant Purchase','3','660 lt Wheeled bin no lock','2014/09/30 00:00:00'
'A&C Weber Uk','P004231','2014/08/22 00:00:00','2014/09/30 00:00:00','Pauline Druce','R005274','308600','6695','Complete','Refuse Collection & Recycling','Equipment & Plant Purchase','4','660 lt Wheeled bin with lock','2014/09/30 00:00:00'
'Mcpc Systems (Uk) Ltd','P004247','2014/08/26 00:00:00','2014/10/10 00:00:00','Pauline Druce','R005293','MCPC SYS','5303','Complete','Parks And Pleasure Grounds','It Software Annual Costs','2','DTE Colony v4 Annual Support 2014/15','2014/10/10 00:00:00'
'A&C Weber Uk','P004231','2014/08/22 00:00:00','2014/09/30 00:00:00','Pauline Druce','R005274','308600','6695','Complete','Refuse Collection & Recycling','Equipment & Plant Purchase','1','1100 lt Wheeled bin no lock','2014/09/30 00:00:00'
'Mcpc Systems (Uk) Ltd','P004247','2014/08/26 00:00:00','2014/10/10 00:00:00','Pauline Druce','R005293','MCPC SYS','5303','Complete','Parks And Pleasure Grounds','It Software Annual Costs','4','DTE Trees Annual Support 2014/15','2014/10/10 00:00:00'
