Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description,,
Castle Cctv Ltd                                                                           ,PS03994   ,2020-07-15,2020-07-17,267669,6000,6000,Crime And Disorder                                                                                                                                                                                      ,IDIS CCTV Solution Exmouth                                                                                                                                                                                                                                                                                  ,,
Ian Williams Ltd                                                                          ,P021000   ,2020-07-31,2020-08-07,328071,292,6274,Supervision And Mgt General                                                                                                                                                                             ,Handyman Scheme   760009/F873426                                                                                                                                                                                                                                                                            ,,
Ian Williams Ltd                                                                          ,P021000   ,2020-07-31,2020-08-07,328071,5982,6274,Supervision And Mgt General                                                                                                                                                                             ,PPE equipment invoice  760018/F873434                                                                                                                                                                                                                                                                       ,,
Tunstall Healthcare Ltd                                                                   ,P020984   ,2020-07-29,2020-08-05,IF000747  ,9900,9900,Homesafeguard                                                                                                                                                                                           ,Telecare Lifeline Vi  units code 57000/320 x                                                                                                                                                                                                                                                                ,,
South West Water Business                                                                 ,P020955   ,2020-07-24,2020-07-31,102181,15000,15000,Corporate Buildings                                                                                                                                                                                     ,5027018501 Blackdown House 2020/21                                                                                                                                                                                                                                                                          ,,
Anna Fitzgerald                                                                           ,P020944   ,2020-07-24,2020-07-25,21605P    ,5000,5000,Arts Development                                                                                                                                                                                        ,Abode of Love Project                                                                                                                                                                                                                                                                                       ,,
Clyst Honiton Parish Council                                                              ,P020934   ,2020-07-23,2020-07-24,691119,9000,9000,Financial Assistance                                                                                                                                                                                    ,Grant Funding for Clyst Honiton Parish Clerk                                                                                                                                                                                                                                                                ,,
Housing Partners Limited                                                                  ,P020928   ,2020-07-23,2020-07-29,361500,5990,5990,Supervision And Mgt General                                                                                                                                                                             ,Homeswapper subscription 3/8/20-2/8/21                                                                                                                                                                                                                                                                      ,,
Exeter City Council                                                                       ,P020911   ,2020-07-21,2020-07-28,111139,5250,5250,Hsg And Council Tax Admin                                                                                                                                                                               ,Reimbursement for Benefit Management from Exe                                                                                                                                                                                                                                                               ,,
Devon Investigations Ltd                                                                  ,P020879   ,2020-07-16,2020-07-23,22876,14000,14000,Crime And Disorder                                                                                                                                                                                      ,Marshal duties in Exmouth                                                                                                                                                                                                                                                                                   ,,
The Dolphin Hotel Exmouth                                                                 ,P020876   ,2020-07-15,2020-07-22,345156,5000,5000,Homeless                                                                                                                                                                                                ,Temporary Accpommodation                                                                                                                                                                                                                                                                                    ,,
Suez Recycling & Recovery Uk Limited                                                      ,P020864   ,2020-07-15,2020-07-22,562017,25790,25790,Refuse Collection & Recycling                                                                                                                                                                           ,Monthly Drivers Rate Uplift - April, May, Jun                                                                                                                                                                                                                                                               
Devon Communities Together                                                                ,P020861   ,2020-07-14,2020-07-21,119369,6000,6000,Strategic Devm'T & P'Ship Mgmt                                                                                                                                                                          ,Devon Communities Together Support                                                                                                                                                                                                                                                                          ,,
Young Devon                                                                               ,P020847   ,2020-07-13,2020-07-20,691511,11940,11940,Homeless                                                                                                                                                                                                ,Homelessness prevention agreement period Jul-                                                                                                                                                                                                                                                               ,,
Project Cosmic                                                                            ,P020843   ,2020-07-13,2020-07-14,813226,40000,40000,Growth Point                                                                                                                                                                                            ,East Devon Business Resilience Prog                                                                                                                                                                                                                                                                         ,,
The Planning Inspectorate                                                                 ,P020811   ,2020-07-08,2020-07-15,129392,14252,14252,Development Managment                                                                                                                                                                                   ,CIL Examination                                                                                                                                                                                                                                                                                             ,,
B A Pyne & Son                                                                            ,P020797   ,2020-07-07,2020-07-14,442524,7850,7850,Flood Prevention Revenue                                                                                                                                                                                ,Budleigh beach outfall inspections and cleara                                                                                                                                                                                                                                                               ,,
Wessex Community Assets                                                                   ,P020794   ,2020-07-06,2020-07-10,147258,15625,15625,Community Lead Housing                                                                                                                                                                                  ,Annual enabling charge for Community Led Hous                                                                                                                                                                                                                                                               ,,
Stephen J Pratten                                                                         ,P020793   ,2020-07-06,2020-07-13,14602,7166,7166,Capital Corp Build And Securty                                                                                                                                                                          ,Project management Services fo Relocation pro                                                                                                                                                                                                                                                               ,,
Jba Consulting                                                                            ,P020784   ,2020-07-03,2020-07-08,799919,24975,24975,Capital Flood Alleviation Sch                                                                                                                                                                           ,Producing BCUR for Feniton FAS                                                                                                                                                                                                                                                                              ,,
Advantage South West Llp                                                                  ,P020778   ,2020-07-02,2020-07-03,252566,11991,11991,Supervision And Mgt General                                                                                                                                                                             ,ASW 20/21 subscription                                                                                                                                                                                                                                                                                      ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03806   ,2020-07-27,2020-08-03,562017,66417,66417,Refuse Collection & Recycling                                                                                                                                                                           ,April 2019 - March 2020 Profit Share Green Wa                                                                                                                                                                                                                                                               ,,
Royal National Lifeboat Institution                                                       ,NP03803   ,2020-07-27,2020-08-03,1226999,12412,12412,Water Safety                                                                                                                                                                                            ,Provision of Beach Lifeguard Services 2020                                                                                                                                                                                                                                                                  ,,
Teignbridge District Council                                                              ,NP03795   ,2020-07-22,2020-07-29,361101,5000,5000,Homeless                                                                                                                                                                                                ,DCHOP Annual Contribution                                                                                                                                                                                                                                                                                   ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03794   ,2020-07-21,2020-07-28,562017,424,15774,Refuse Collection & Recycling                                                                                                                                                                           ,Additional Collection - June 2020                                                                                                                                                                                                                                                                           ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03794   ,2020-07-21,2020-07-28,562017,24,15774,Refuse Collection & Recycling                                                                                                                                                                           ,AHP Collections - June 2020                                                                                                                                                                                                                                                                                 ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03794   ,2020-07-21,2020-07-28,562017,2911,15774,Refuse Collection & Recycling                                                                                                                                                                           ,Assisted Refuse Collections - June 2020                                                                                                                                                                                                                                                                     ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03794   ,2020-07-21,2020-07-28,562017,6867,15774,Refuse Collection & Recycling                                                                                                                                                                           ,Contract Variations June 2020 - Assisted Recy                                                                                                                                                                                                                                                               ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03794   ,2020-07-21,2020-07-28,562017,683,15774,Refuse Collection & Recycling                                                                                                                                                                           ,Dog bin collections - June 2020                                                                                                                                                                                                                                                                             ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03794   ,2020-07-21,2020-07-28,562017,3522,15774,Refuse Collection & Recycling                                                                                                                                                                           ,Schedule 2 Recycling Collections - June 2020                                                                                                                                                                                                                                                                ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03794   ,2020-07-21,2020-07-28,562017,1340,15774,Refuse Collection & Recycling                                                                                                                                                                           ,Schedule 2 Refuse Collections - June 2020                                                                                                                                                                                                                                                                   ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03788   ,2020-07-20,2020-07-27,562017,2237,34613,Refuse Collection & Recycling                                                                                                                                                                           ,Bin Delivery costs                                                                                                                                                                                                                                                                                          ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03788   ,2020-07-20,2020-07-27,562017,19797,34613,Refuse Collection & Recycling                                                                                                                                                                           ,Green Waste June 2020 - Labour                                                                                                                                                                                                                                                                              ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03788   ,2020-07-20,2020-07-27,562017,12579,34613,Refuse Collection & Recycling                                                                                                                                                                           ,Vehicle Costs                                                                                                                                                                                                                                                                                               ,,
Leaseplan Uk Ltd T/A Automotive Leasing Ltd                                               ,NP03777   ,2020-07-16,2020-07-23,513539,6932,6932,Parks And Pleasure Grounds                                                                                                                                                                              ,HX18 XFG - Annual rental 07/20 - 07/21                                                                                                                                                                                                                                                                      ,,
