Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Bt Redcare                                                                                ,PS02950   ,2018-08-21,2018-08-28,6         ,10372,8643,Corporate Buildings                                                                                                                                                                                     ,Exmouth CCTV - BT REDCARE - Annual Rental Con                                                                                                                                                                                                                                                               
Kier Integrated Services Ltd                                                              ,P014500   ,2018-08-31,2018-10-31,394654    ,415039,415039,Coastal Protection Revenue                                                                                                                                                                              ,Exmouth Revetment Works Terms as per contract                                                                                                                                                                                                                                                               
Royal Haskoning Dhv                                                                       ,P014499   ,2018-08-31,2018-11-05,411663    ,26800,26800,Coastal Protection Revenue                                                                                                                                                                              ,Exmouth Rock Replenishment - Tendering, ECC-P                                                                                                                                                                                                                                                               
Architectural Street Furnishings Limited                                                  ,P014470   ,2018-08-30,2018-12-31,541235    ,31470,31470,Capital Beaches And Foreshores                                                                                                                                                                          ,Exmouth Beach Access Railings                                                                                                                                                                                                                                                                               
Royal Mail Group Ltd                                                                      ,P014450   ,2018-08-29,2018-09-04,568864    ,7905,7905,Elections                                                                                                                                                                                               ,Annual Canvass returned forms                                                                                                                                                                                                                                                                               
Lda Design Consulting Llp                                                                 ,P014448   ,2018-08-28,2018-09-04,310471    ,7796,7796,Growth Point                                                                                                                                                                                            ,Exeter Science Park - Masterplan update                                                                                                                                                                                                                                                                     
Lda Design Consulting Llp                                                                 ,P014447   ,2018-08-28,2018-09-04,310471    ,5226,5226,Growth Point                                                                                                                                                                                            ,Exeter Science Park - Masterplan work                                                                                                                                                                                                                                                                       
Lambert Smith Hampton                                                                     ,P014446   ,2018-08-28,2018-09-04,15997P    ,5176,5176,Growth Point                                                                                                                                                                                            ,Cranbrook Town Centre                                                                                                                                                                                                                                                                                       
I-Civils Ltd                                                                              ,P014418   ,2018-08-22,2018-11-28,466801    ,16000,16000,Beaches & Foreshores                                                                                                                                                                                    ,Sidmouth Seawall                                                                                                                                                                                                                                                                                            
Electoral Reform Services                                                                 ,P014401   ,2018-08-21,2018-08-27,83658909  ,17417,24212,Elections                                                                                                                                                                                               ,Initial HEF Canvass Forms - postage                                                                                                                                                                                                                                                                         
Electoral Reform Services                                                                 ,P014401   ,2018-08-21,2018-08-27,83658909  ,6794,24212,Elections                                                                                                                                                                                               ,Initial HEF Canvass Forms - Printing                                                                                                                                                                                                                                                                        
Strata Service Solutions Ltd                                                              ,P014397   ,2018-08-20,2018-08-21,265114    ,601720,601720,Ict Services                                                                                                                                                                                            ,QTR 4 - Quarterly service provision for 2018-                                                                                                                                                                                                                                                               
Strata Service Solutions Ltd                                                              ,P014396   ,2018-08-20,2018-08-21,265114    ,601720,793320,Ict Services                                                                                                                                                                                            ,2018-2019 STRATA Service Provision QTRLY                                                                                                                                                                                                                                                                    
Strata Service Solutions Ltd                                                              ,P014396   ,2018-08-20,2018-08-21,265114    ,15200,793320,Ict Services                                                                                                                                                                                            ,Access charge mobile devices monthly - 2018-2                                                                                                                                                                                                                                                               
Strata Service Solutions Ltd                                                              ,P014396   ,2018-08-20,2018-08-21,265114    ,4400,793320,Ict Services                                                                                                                                                                                            ,Mobile tariff overspend 2018-2019                                                                                                                                                                                                                                                                           
Strata Service Solutions Ltd                                                              ,P014396   ,2018-08-20,2018-08-21,265114    ,120000,793320,Ict Services                                                                                                                                                                                            ,Monthly Extras recharge 2018-2019                                                                                                                                                                                                                                                                           
Strata Service Solutions Ltd                                                              ,P014396   ,2018-08-20,2018-08-21,265114    ,52000,793320,Ict Services                                                                                                                                                                                            ,Tariff charge monthly 2018-2019                                                                                                                                                                                                                                                                             
A S Mooring Services                                                                      ,P014386   ,2018-08-17,2018-08-31,598372    ,16306,16306,Growth Point                                                                                                                                                                                            ,Exe Estuary Wildlife Refuges - installation o                                                                                                                                                                                                                                                               
Resolution Data Management Ltd                                                            ,P014344   ,2018-08-15,2018-08-17,085147    ,5363,7151,Building Control                                                                                                                                                                                        ,44001 - Resolution scanning                                                                                                                                                                                                                                                                                 
Resolution Data Management Ltd                                                            ,P014344   ,2018-08-15,2018-08-17,085147    ,1787,7151,Building Control                                                                                                                                                                                        ,44005 - Resolution scanning                                                                                                                                                                                                                                                                                 
Wessex Community Assets                                                                   ,P014290   ,2018-08-09,2018-08-16,147258    ,15625,15625,Community Lead Housing                                                                                                                                                                                  ,WCLT Enabling Charge                                                                                                                                                                                                                                                                                        
Kier Integrated Services Ltd                                                              ,P014265   ,2018-08-08,2018-09-03,394654    ,127502,127502,Coastal Protection Revenue                                                                                                                                                                              ,Exmouth rock revetment - piling materials                                                                                                                                                                                                                                                                   
Building Recruitment Co Ltd                                                               ,P014262   ,2018-08-08,2018-10-31,BUILDING  ,19000,19000,Supervision And Mgt General                                                                                                                                                                             ,Temporary staff for Repairs team                                                                                                                                                                                                                                                                            
Waggle Events Limited                                                                     ,P014261   ,2018-08-08,2018-08-15,897688    ,16000,16000,Capital Regeneration Economy                                                                                                                                                                            ,LED Screen PA & production Exmouth Summer Scr                                                                                                                                                                                                                                                               
Julian Brown Consultancy Limited                                                          ,P014253   ,2018-08-07,2018-08-09,433339    ,860,5000,Capital Regeneration Economy                                                                                                                                                                            ,Update survey of badger activity, undertaken                                                                                                                                                                                                                                                                
Strata Service Solutions Ltd                                                              ,P014252   ,2018-08-07,2018-08-14,265114    ,5441,24088,Hsg And Council Tax Admin                                                                                                                                                                               ,B Harvey - May to July 2018 Salary recharge                                                                                                                                                                                                                                                                 
Strata Service Solutions Ltd                                                              ,P014252   ,2018-08-07,2018-08-14,265114    ,1629,24088,Ict Services                                                                                                                                                                                            ,C Barker - July 2018 - Salary recharge                                                                                                                                                                                                                                                                      
Strata Service Solutions Ltd                                                              ,P014252   ,2018-08-07,2018-08-14,265114    ,1541,24088,Ict Services                                                                                                                                                                                            ,D Hadley - July 2018 Salary recharge                                                                                                                                                                                                                                                                        
Strata Service Solutions Ltd                                                              ,P014252   ,2018-08-07,2018-08-14,265114    ,1923,24088,Ict Services                                                                                                                                                                                            ,H Manley - July 2018 Salary recharge                                                                                                                                                                                                                                                                        
Strata Service Solutions Ltd                                                              ,P014252   ,2018-08-07,2018-08-14,265114    ,1491,24088,Ict Services                                                                                                                                                                                            ,J De Leiburne - april to July 2018 Market Sup                                                                                                                                                                                                                                                               
Strata Service Solutions Ltd                                                              ,P014252   ,2018-08-07,2018-08-14,265114    ,1900,24088,Ict Services                                                                                                                                                                                            ,July 2018 - Access charge - Mobile devices                                                                                                                                                                                                                                                                  
Strata Service Solutions Ltd                                                              ,P014252   ,2018-08-07,2018-08-14,265114    ,6268,24088,Ict Services                                                                                                                                                                                            ,July 2018 - Tariff for mobile devices                                                                                                                                                                                                                                                                       
Strata Service Solutions Ltd                                                              ,P014252   ,2018-08-07,2018-08-14,265114    ,621,24088,Ict Services                                                                                                                                                                                            ,July 2018 - Tariff overspend - Mobile devices                                                                                                                                                                                                                                                               
Strata Service Solutions Ltd                                                              ,P014252   ,2018-08-07,2018-08-14,265114    ,3271,24088,Hsg And Council Tax Admin                                                                                                                                                                               ,M Bowers - April to July 2018 Salary recharge                                                                                                                                                                                                                                                               
Clyst Honiton Parish Council                                                              ,P014248   ,2018-08-07,2018-08-08,691119    ,6000,6000,Financial Assistance                                                                                                                                                                                    ,Grant for 2018/19 (to 31.12.18) for Clyst Hon                                                                                                                                                                                                                                                               
Stephen J Pratten                                                                         ,P014246   ,2018-08-07,2018-08-13,014602    ,8306,8306,Capital Corp Build And Securty                                                                                                                                                                          ,Relocation Project management services                                                                                                                                                                                                                                                                      
Intelligent Plans & Examinations Ltd                                                      ,P014242   ,2018-08-07,2018-08-14,033162    ,7085,7085,Planning Policy                                                                                                                                                                                         ,Beer Neighbourhood Plan Examination Report                                                                                                                                                                                                                                                                  
Teignbridge District Council                                                              ,P014237   ,2018-08-07,2018-08-14,361101    ,5000,5000,Homeless                                                                                                                                                                                                ,2018/19 Annual Contribution to the D&C Housin                                                                                                                                                                                                                                                               
C Sansom Ltd                                                                              ,P014201   ,2018-08-02,2018-12-26,363332    ,7269,7097,Capital Flood Alleviation Sch                                                                                                                                                                           ,Gosford Farm Fention, Flood Alleviation Impro                                                                                                                                                                                                                                                               
Burnell Plant                                                                             ,P014184   ,2018-08-01,2018-08-10,341657    ,7682,7682,Aonb And Countryside                                                                                                                                                                                    ,Borrow pit path extension                                                                                                                                                                                                                                                                                   
Carbon Compost Company                                                                    ,P014177   ,2018-08-01,2018-09-12,254125    ,16850,16850,Aonb And Countryside                                                                                                                                                                                    ,Exeter Retort mobile kiln                                                                                                                                                                                                                                                                                   
Chubb Fire & Security Limited                                                             ,NP01472   ,2018-08-30,2018-09-03,901130    ,8286,8286,Supervision And Mgt Special                                                                                                                                                                             ,Chubb Contract (part 2) no 50059125 on NP0073                                                                                                                                                                                                                                                               
Tunstall Healthcare Ltd                                                                   ,NP01470   ,2018-08-30,2018-08-31,IF000747  ,12149,12149,Capital Hra Housing                                                                                                                                                                                     ,Scheme upgrade - Lymebourne Park inv no 31N/2                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,13,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Additional Collections                                                                                                                                                                                                                                                                                      
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,168,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Assisted Recycling                                                                                                                                                                                                                                                                                          
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,69,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Assisted Refuse                                                                                                                                                                                                                                                                                             
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,76,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Bulky Waste Collection                                                                                                                                                                                                                                                                                      
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,75,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Collections of Clinical Waste                                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01434   ,2018-08-20,2018-08-21,562017    ,8,8358,Refuse Collection & Recycling                                                                                                                                                                           ,Dog Bins                                                                                                                                                                                                                                                                                                    
