Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Courtship Limited                                                                         ,PS01786   ,2015-11-09,2015-11-20,674562    ,,6000,Sports Centres And Swim Pools                                                                                                                                                                           ,East Devon Tennis Centre - Courts 5 & 6 Resur                                                                                                                                                                                                                                                               
Courtstall Services Ltd                                                                   ,P006433   ,2015-11-24,2015-12-01,384038    ,,14210,Sports Centres And Swim Pools                                                                                                                                                                           ,East Devon Tennis Centre - Courts 5 & 6 Resur                                                                                                                                                                                                                                                               
I J Cannings & Son Ltd                                                                    ,P006423   ,2015-11-23,2015-11-30,190527    ,,12950,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Swimming Pool - Media Change                                                                                                                                                                                                                                                                        
Plymouth City Council                                                                     ,P006364   ,2015-11-10,2015-11-11,620271    ,,5000,Corporate Activities                                                                                                                                                                                    ,Heart of South West Devolution Programme                                                                                                                                                                                                                                                                    
Courtship Limited                                                                         ,PS01786   ,2015-11-09,2015-11-20,674562    ,,6000,Sports Centres And Swim Pools                                                                                                                                                                           ,East Devon Tennis Centre - Courts 5 & 6 Resur                                                                                                                                                                                                                                                               
Courtstall Services Ltd                                                                   ,P006433   ,2015-11-24,2015-12-01,384038    ,,14210,Sports Centres And Swim Pools                                                                                                                                                                           ,East Devon Tennis Centre - Courts 5 & 6 Resur                                                                                                                                                                                                                                                               
I J Cannings & Son Ltd                                                                    ,P006423   ,2015-11-23,2015-11-30,190527    ,,12950,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Swimming Pool - Media Change                                                                                                                                                                                                                                                                        
Plymouth City Council                                                                     ,P006364   ,2015-11-10,2015-11-11,620271    ,,5000,Corporate Activities                                                                                                                                                                                    ,Heart of South West Devolution Programme                                                                                                                                                                                                                                                                    
Courtship Limited                                                                         ,PS01786   ,2015-11-09,2015-11-20,674562    ,,6000,Sports Centres And Swim Pools                                                                                                                                                                           ,East Devon Tennis Centre - Courts 5 & 6 Resur                                                                                                                                                                                                                                                               
Courtstall Services Ltd                                                                   ,P006433   ,2015-11-24,2015-12-01,384038    ,,14210,Sports Centres And Swim Pools                                                                                                                                                                           ,East Devon Tennis Centre - Courts 5 & 6 Resur                                                                                                                                                                                                                                                               
I J Cannings & Son Ltd                                                                    ,P006423   ,2015-11-23,2015-11-30,190527    ,,12950,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Swimming Pool - Media Change                                                                                                                                                                                                                                                                        
Plymouth City Council                                                                     ,P006364   ,2015-11-10,2015-11-11,620271    ,,5000,Corporate Activities                                                                                                                                                                                    ,Heart of South West Devolution Programme                                                                                                                                                                                                                                                                    
Courtship Limited                                                                         ,PS01786   ,2015-11-09,2015-11-20,674562    ,,6000,Sports Centres And Swim Pools                                                                                                                                                                           ,East Devon Tennis Centre - Courts 5 & 6 Resur                                                                                                                                                                                                                                                               
Courtstall Services Ltd                                                                   ,P006433   ,2015-11-24,2015-12-01,384038    ,,14210,Sports Centres And Swim Pools                                                                                                                                                                           ,East Devon Tennis Centre - Courts 5 & 6 Resur                                                                                                                                                                                                                                                               
I J Cannings & Son Ltd                                                                    ,P006423   ,2015-11-23,2015-11-30,190527    ,,12950,Sports Centres And Swim Pools                                                                                                                                                                           ,Exmouth Swimming Pool - Media Change                                                                                                                                                                                                                                                                        
Plymouth City Council                                                                     ,P006364   ,2015-11-10,2015-11-11,620271    ,,5000,Corporate Activities                                                                                                                                                                                    ,Heart of South West Devolution Programme                                                                                                                                                                                                                                                                    
