Supplier [Name,CpvCodes,,,,,,,,,,,,,,,,
[Inform Communications plc,72000000,,,,,,,,,,,,,,,,
[NETCOMPANY UK LIMITED,72100000,72500000,,,,,,,,,,,,,,,
[IPE Global Limited,75211200,,,,,,,,,,,,,,,,
[Price Waterhouse Coopers Llp,79212200,,,,,,,,,,,,,,,,
[CAPITA TRAVEL AND EVENTS LIMITED,79997000,,,,,,,,,,,,,,,,
[BARCELONA INSTITUTE FOR GLOBAL HEALTH,73111000,,,,,,,,,,,,,,,,
[Oak Tree Care Services Ltd,85000000,,,,,,,,,,,,,,,,
[RSM UK AUDIT LLP,79212200,,,,,,,,,,,,,,,,
[Astral Fire and Security Ltd,31000000,,,,,,,,,,,,,,,,
[Andalusia Academy,85000000,,,,,,,,,,,,,,,,
[Treka Bus Limited,34144000,,,,,,,,,,,,,,,,
[Wavehill,73110000,,,,,,,,,,,,,,,,
[SQW Limited,73110000,,,,,,,,,,,,,,,,
[Ipsos MORI,73210000,,,,,,,,,,,,,,,,
[Pricewaterhouse Coopers Private Limited,79411000,,,,,,,,,,,,,,,,
[RSM UK AUDIT LLP,79212200,,,,,,,,,,,,,,,,
[Hull Business Training Centre,80000000,,,,,,,,,,,,,,,,
[Farscape Development Ltd,79632000,,,,,,,,,,,,,,,,
[MJ Support Staffing,85000000,,,,,,,,,,,,,,,,
[Tata Consultancy Services Limited,72000000,,,,,,,,,,,,,,,,
[SURECLOUD LIMITED,72322000,,,,,,,,,,,,,,,,
[Graham Harper Associates,71000000,,,,,,,,,,,,,,,,
[Totally Communications,30211300,,,,,,,,,,,,,,,,
[ENCIRCLE SOLUTIONS LIMITED,72415000,,,,,,,,,,,,,,,,
[PRICEWATERHOUSECOOPERS LLP,79210000,79411000,,,,,,,,,,,,,,,
[Indecon Building Limited,45211100,,,,,,,,,,,,,,,,
[OCS GROUP UK LIMITED,79993100,,,,,,,,,,,,,,,,
[Central Taxis Ltd T/A Go Carz,60000000,,,,,,,,,,,,,,,,
[Grant Thornton UK LLP,79212100,,,,,,,,,,,,,,,,
[GAMMA TELECOM LTD,51340000,,,,,,,,,,,,,,,,
"[Firmstep Limited,",72211000,,,,,,,,,,,,,,,,
[Jack Tighe Ltd,45442120,,,,,,,,,,,,,,,,
[Central Taxis Ltd T/A Go Carz,60000000,,,,,,,,,,,,,,,,
[Diamond Cars (Telford) Ltd,60000000,,,,,,,,,,,,,,,,
[Central Taxis Ltd T/A Go Carz,60000000,,,,,,,,,,,,,,,,
[Central Taxis Ltd T/A Go Carz,60000000,,,,,,,,,,,,,,,,
[CAPITA PROPERTY AND INFRASTRUCTURE (STRUCTURES) LIMITED,71311210,,,,,,,,,,,,,,,,
[XMA LIMITED,30230000,,,,,,,,,,,,,,,,
[COMPUTACENTER (UK) LIMITED,30100000,,,,,,,,,,,,,,,,
[AUTOMATION LOGIC LTD,72261000,,,,,,,,,,,,,,,,
[NTT DATA SERVICES UK LIMITED,48000000,,,,,,,,,,,,,,,,
[Robertsons transport,60120000,60140000,60130000,60170000,60112000,,,,,,,,,,,,
[Elsevier B.V.,79980000,,,,,,,,,,,,,,,,
[SOFTWARE BOX LIMITED,30000000,,,,,,,,,,,,,,,,
[HELIOS TECHNOLOGY LIMITED,79000000,,,,,,,,,,,,,,,,
[Landmark Information Group Ltd,72261000,,,,,,,,,,,,,,,,
[Landmark Information Group Ltd,72261000,,,,,,,,,,,,,,,,
[3mse Limited,42900000,45300000,44600000,42500000,45331000,,,,,,,,,,,,
[J M Hill Building Services Limited,50000000,,,,,,,,,,,,,,,,
[RRR Consultancy Ltd,73000000,79000000,98000000,71410000,,,,,,,,,,,,,
[United Taxis Ltd.,60000000,85000000,,,,,,,,,,,,,,,
[Renault Retail Group Uk Ltd,34144900,,,,,,,,,,,,,,,,
[Financial Ombudsman Service,66000000,,,,,,,,,,,,,,,,
[RESEARCH CONSULTING LIMITED,73110000,73210000,,,,,,,,,,,,,,,
[Servelec Education Limited,48000000,48400000,48300000,48600000,48700000,48200000,48900000,,,,,,,,,,
[R Bray Groundwork,45340000,,,,,,,,,,,,,,,,
[Carter Jonas,79900000,,,,,,,,,,,,,,,,
[Convergent Network Solutions Ltd,71311210,,,,,,,,,,,,,,,,
[Northgate Information Solutions UK Ltd,48000000,,,,,,,,,,,,,,,,
[TSSW,80000000,,,,,,,,,,,,,,,,
[M&C SAATCHI (UK) LIMITED,79340000,,,,,,,,,,,,,,,,
[Mercure Southgate Hotel,55120000,,,,,,,,,,,,,,,,
[JOHN WILEY & SONS LIMITED,79980000,,,,,,,,,,,,,,,,
[Elasticsearch LTD,48000000,,,,,,,,,,,,,,,,
[RED OAK CONSULTING LLP,79000000,,,,,,,,,,,,,,,,
[JBA Consulting,90712000,,,,,,,,,,,,,,,,
[LGC,73000000,,,,,,,,,,,,,,,,
[Bishops Fleming Chartered Accountants,66171000,,,,,,,,,,,,,,,,
[William Birch & Sons Ltd,45300000,50800000,,,,,,,,,,,,,,,
[ACUMEN WASTE SERVICES LIMITED,34144511,45222110,45252300,45262660,90500000,90650000,,,,,,,,,,,
[BBJ CONSTRUCTION,45300000,,,,,,,,,,,,,,,,
[TNI International,90521400,,,,,,,,,,,,,,,,
[Ove Arup & Partners Ltd,71220000,79933000,79415200,,,,,,,,,,,,,,
[INTERNATIONAL PAINT LIMITED,50241000,,,,,,,,,,,,,,,,
[IPSOS MORI,73000000,,,,,,,,,,,,,,,,
[IPSOS MORI,73000000,,,,,,,,,,,,,,,,
[Mando Group Ltd,71356300,,,,,,,,,,,,,,,,
[Community Research Ltd,73110000,73300000,79310000,85148000,,,,,,,,,,,,,
[Various,60170000,,,,,,,,,,,,,,,,
[GREEN RESOURCE ENGINEERING LIMITED,38000000,,,,,,,,,,,,,,,,
[University of Central Lancashire,9300000,,,,,,,,,,,,,,,,
[F. KLUCZNIK & SON LIMITED,34928220,,,,,,,,,,,,,,,,
[Goodwin International Ltd,45255400,,,,,,,,,,,,,,,,
[NatWest,66110000,,,,,,,,,,,,,,,,
[CALLCREDIT INFORMATION GROUP LIMITED,48812000,,,,,,,,,,,,,,,,
[NESS ENGINEERING LIMITED,45213000,,,,,,,,,,,,,,,,
[Moore Stephens Llp,79212100,,,,,,,,,,,,,,,,
[Various Suppliers,79611000,,,,,,,,,,,,,,,,
[Atkins Highways & Transportation,71311210,,,,,,,,,,,,,,,,
[Jeremy Benn Associates LTD,71800000,73000000,79400000,,,,,,,,,,,,,,
[Miller Pattison Ltd,45320000,45321000,,,,,,,,,,,,,,,
[Imagine Education Ltd,80000000,,,,,,,,,,,,,,,,
[WILLIAM GOUGH & SONS LIMITED,45453000,,,,,,,,,,,,,,,,
[Ambition School Leadership Trust,80000000,,,,,,,,,,,,,,,,
[Anna Grindle,80000000,,,,,,,,,,,,,,,,
[THERMO FISHER DIAGNOSTICS LIMITED,50400000,,,,,,,,,,,,,,,,
[Thomson Reuters,79140000,,,,,,,,,,,,,,,,
[diva creative limited,79000000,72220000,,,,,,,,,,,,,,,
[Disability Syndicate,79000000,85321000,98000000,,,,,,,,,,,,,,
[PRICEWATERHOUSECOOPERS,79212000,,,,,,,,,,,,,,,,
[ART CLEANING (MIDLANDS) LIMITED,90911000,,,,,,,,,,,,,,,,
[Methods Professional Services Ltd,72000000,,,,,,,,,,,,,,,,
[Esh Construction Ltd,45000000,,,,,,,,,,,,,,,,
[Terex Cranes UK Ltd,42414100,,,,,,,,,,,,,,,,
"[CITY, UNIVERSITY OF LONDON",73200000,,,,,,,,,,,,,,,,
[MOORE STEPHENS,79212000,,,,,,,,,,,,,,,,
[RYSTAD ENERGY LIMITED,73200000,79300000,,,,,,,,,,,,,,,
[MODULE-AR LIMITED,63122000,,,,,,,,,,,,,,,,
[O.R.C. INTERNATIONAL LTD.,79311000,,,,,,,,,,,,,,,,
[Specialised Movers Limited,98392000,,,,,,,,,,,,,,,,
[Amey LG Limited,45000000,,,,,,,,,,,,,,,,
[CONTEXT INFORMATION SECURITY LIMITED,72000000,,,,,,,,,,,,,,,,
[Arthur J Gallagher Insurance Brokers Ltd,66000000,,,,,,,,,,,,,,,,
[ORACLE CORPORATION UK LIMITED,79400000,,,,,,,,,,,,,,,,
[Lot 1 Halliday Meecham Architects Limited,71000000,,,,,,,,,,,,,,,,
[JADU LIMITED,48000000,,,,,,,,,,,,,,,,
[Prazska plynarenska,65000000,,,,,,,,,,,,,,,,
[BLACKBERRY UK LIMITED,72000000,,,,,,,,,,,,,,,,
[SOFTWARE BOX LIMITED,48000000,,,,,,,,,,,,,,,,
[APPNOVATION TECHNOLOGIES LIMITED,72000000,,,,,,,,,,,,,,,,
[New Voice Media,72000000,,,,,,,,,,,,,,,,
"[TABLEAU INTERNATIONAL, UNLIMITED COMPANY",72000000,,,,,,,,,,,,,,,,
[Axle Weight Technology Limited,34300000,42923000,,,,,,,,,,,,,,,
[Axle Weight Technology Limited,34300000,42923000,,,,,,,,,,,,,,,
[Silverstring Ltd,72910000,,,,,,,,,,,,,,,,
[Lindisfarne Court Care Home,85000000,,,,,,,,,,,,,,,,
[Treka Bus,34114400,,,,,,,,,,,,,,,,
[Continental Landscapes Ltd,90000000,,,,,,,,,,,,,,,,
[Bid Thinking Ltd,73210000,,,,,,,,,,,,,,,,
[SOFTCAT PLC,72000000,,,,,,,,,,,,,,,,
[CAPITA BUSINESS SERVICES LIMITED,72000000,,,,,,,,,,,,,,,,
[Arcadis LLP,71000000,,,,,,,,,,,,,,,,
[Faithful+Gould Limited,71000000,,,,,,,,,,,,,,,,
[Spoon Six Limited,48445000,,,,,,,,,,,,,,,,
[SOFTCAT PLC,72000000,,,,,,,,,,,,,,,,
[SOFTCAT PLC,30000000,,,,,,,,,,,,,,,,
[MLEX LIMITED,79300000,,,,,,,,,,,,,,,,
[SOFTCAT PLC,48000000,,,,,,,,,,,,,,,,
[Insight Direct (Uk) Limited,72000000,,,,,,,,,,,,,,,,
[Venson Automotive Solutions Limited,50100000,,,,,,,,,,,,,,,,
[Capgemini UK PLC,72000000,,,,,,,,,,,,,,,,
[TELECTICA LTD,73200000,79300000,,,,,,,,,,,,,,,
[The Roundabouts Consultancy,79411100,,,,,,,,,,,,,,,,
[SOFTWARE BOX LIMITED,48000000,,,,,,,,,,,,,,,,
[GREEN PARK INTERIM & EXECUTIVE LIMITED,72000000,,,,,,,,,,,,,,,,
[King Trailers Limited,34223300,,,,,,,,,,,,,,,,
[PF Burridge,45000000,,,,,,,,,,,,,,,,
[TESSELLA LIMITED,72000000,,,,,,,,,,,,,,,,
[SBC builders ltd,45440000,45451000,,,,,,,,,,,,,,,
[Borough Consultancy Services Limited,34700000,63100000,63700000,60400000,79416000,,,,,,,,,,,,
[Field Fisher Waterhouse,79100000,,,,,,,,,,,,,,,,
[MCKINSEY & COMPANY LME LIMITED,79400000,,,,,,,,,,,,,,,,
[Maintel Europe Limited,30200000,,,,,,,,,,,,,,,,
[Arthur Mckay,35000000,,,,,,,,,,,,,,,,
[HH Associates Limited,79800000,,,,,,,,,,,,,,,,
[Leidos Innovations UK Limited,22000000,22458000,79820000,22100000,63121100,30199711,72310000,79823000,30199710,79824000,72313000,92512100,79810000,79821000,79800000,64100000,79811000
[PREVENTX LIMITED,85000000,,,,,,,,,,,,,,,,
[Galliford Try Building Ltd T/A Morrison Construction,45262700,,,,,,,,,,,,,,,,
"[EPIQ SYSTEMS, LTD.",48000000,,,,,,,,,,,,,,,,
[CAPITA BUSINESS SERVICES LIMITED,85141000,,,,,,,,,,,,,,,,
[Ashtead Plant HIre Co Ltd,45500000,,,,,,,,,,,,,,,,
[The Monarch Partnership Ltd,9310000,,,,,,,,,,,,,,,,
[Vodafone Ltd,32000000,,,,,,,,,,,,,,,,
[Bluegrass Research Limited,73110000,,,,,,,,,,,,,,,,
[GLOBAL KNOWLEDGE NETWORK TRAINING LIMITED,80533000,,,,,,,,,,,,,,,,
[GLOBAL KNOWLEDGE NETWORK TRAINING LIMITED,80533000,,,,,,,,,,,,,,,,
[Health HR UK,79000000,,,,,,,,,,,,,,,,
[Oakleaf Surveying Ltd,71315300,71355000,,,,,,,,,,,,,,,
[KIER CONSTRUCTION LIMITED,75211200,,,,,,,,,,,,,,,,
[Search for Common Ground,73000000,,,,,,,,,,,,,,,,
[Global Partners Governance,79000000,,,,,,,,,,,,,,,,
[British Council,73000000,,,,,,,,,,,,,,,,
[KAMELEON WORLDWIDE LIMITED,72000000,,,,,,,,,,,,,,,,
[ICASEWORK LIMITED,48000000,,,,,,,,,,,,,,,,
[RLF LLP,71244000,,,,,,,,,,,,,,,,
[Heritage Masonry Ltd,45000000,,,,,,,,,,,,,,,,
[IPSOS RESEARCH LTD,73110000,,,,,,,,,,,,,,,,
[Insight Direct (UK) Ltd,30000000,,,,,,,,,,,,,,,,
[Insight Direct (UK) Ltd,30100000,,,,,,,,,,,,,,,,
[SUGARMAN HEALTH AND WELLBEING LIMITED,85100000,,,,,,,,,,,,,,,,
[AMEC Foster Wheeler Nuclear UK Ltd,73000000,,,,,,,,,,,,,,,,
[Lisa Bailey-Brown,3441000,,,,,,,,,,,,,,,,
[Redweb,33180000,72000000,,,,,,,,,,,,,,,
[MACE LIMITED,71242000,,,,,,,,,,,,,,,,
[Econ Engineering,34144440,,,,,,,,,,,,,,,,
[Imperial Commercials,34144510,,,,,,,,,,,,,,,,
[Dennis Eagle,34144511,,,,,,,,,,,,,,,,
[Alan Fuller Ltd,34144410,,,,,,,,,,,,,,,,
[Dennis Eagle,34144511,,,,,,,,,,,,,,,,
[Prgloo Limited,72212331,,,,,,,,,,,,,,,,
[NTM-GB Ltd,34144510,,,,,,,,,,,,,,,,
[REED SPECIALIST RECRUITMENT,79620000,,,,,,,,,,,,,,,,
[McLagan (AON),72221000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[SPRING TECHNOLOGY,79620000,,,,,,,,,,,,,,,,
[CERTES COMPUTING LTD,79620000,,,,,,,,,,,,,,,,
[Communicate Research Ltd trading as ComRes,79310000,,,,,,,,,,,,,,,,
[METHODS BUSINESS AND DIGITAL TECHNOLOGY LIMITED,79620000,,,,,,,,,,,,,,,,
[RED HAT LIMITED,72000000,,,,,,,,,,,,,,,,
[Modis International Limited,79600000,,,,,,,,,,,,,,,,
[CERTES COMPUTING LTD,79620000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[CERTES COMPUTING LTD,79620000,,,,,,,,,,,,,,,,
[WSP UK Limited,73000000,,,,,,,,,,,,,,,,
[BADENOCH AND CLARK,79620000,,,,,,,,,,,,,,,,
[SOLOS CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[AMEC Foster Wheeler Nuclear UK Ltd,73000000,,,,,,,,,,,,,,,,
[SMARTSOURCING PLC,79620000,,,,,,,,,,,,,,,,
[Galson Sciences Ltd,73000000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[Machine Tool Engineers (E.K.),42416400,42419530,50740000,,,,,,,,,,,,,,
[METHODS BUSINESS AND DIGITAL TECHNOLOGY LIMITED,79620000,,,,,,,,,,,,,,,,
[Risktec Solutions Limited,73000000,,,,,,,,,,,,,,,,
[CERTES COMPUTING LTD,79620000,,,,,,,,,,,,,,,,
[Capita Business Services,73000000,,,,,,,,,,,,,,,,
[CARBON60 LTD,79620000,,,,,,,,,,,,,,,,
[SMARTSOURCING PLC,79620000,,,,,,,,,,,,,,,,
[AMEC Foster Wheeler Nuclear UK Ltd,73000000,,,,,,,,,,,,,,,,
[HAYS SPECIALIST RECRUITMENT LTD,79620000,,,,,,,,,,,,,,,,
[ANDRA,73000000,,,,,,,,,,,,,,,,
[PARITY PROFESSIONALS LIMITED,79620000,,,,,,,,,,,,,,,,
[HAYS SPECIALIST RECRUITMENT LTD,79620000,,,,,,,,,,,,,,,,
[National Nuclear Laboratory,73000000,,,,,,,,,,,,,,,,
[Gilbert-Ash,45000000,45214000,45214400,,,,,,,,,,,,,,
[CloudyGroup Limited T/A CloudyCreative,73000000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[Engine Partners UK LLP,73000000,,,,,,,,,,,,,,,,
[SMARTSOURCING PLC,79620000,,,,,,,,,,,,,,,,
[Capita Business Services,73000000,,,,,,,,,,,,,,,,
[SOLOS CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[ESRI (UK) Limited,73000000,,,,,,,,,,,,,,,,
[STR LTD,79620000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[United Guarding Services Ltd,79710000,,,,,,,,,,,,,,,,
[Engine Partners UK LLP,73000000,,,,,,,,,,,,,,,,
[AMEC Nuclear UK Ltd,73000000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[Capita Business Services,73000000,,,,,,,,,,,,,,,,
[SMARTSOURCING PLC,79620000,,,,,,,,,,,,,,,,
[METHODS BUSINESS AND DIGITAL TECHNOLOGY LIMITED,79620000,,,,,,,,,,,,,,,,
[HAYS SPECIALIST RECRUITMENT LTD,79620000,,,,,,,,,,,,,,,,
[WSP UK Limited,73000000,,,,,,,,,,,,,,,,
[HAYS SPECIALIST RECRUITMENT LTD,79620000,,,,,,,,,,,,,,,,
[BADENOCH AND CLARK,79620000,,,,,,,,,,,,,,,,
[AMEC Nuclear UK Ltd,73000000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[SPRING TECHNOLOGY,79620000,,,,,,,,,,,,,,,,
[STR LTD,79620000,,,,,,,,,,,,,,,,
[Capita Business Services,73000000,,,,,,,,,,,,,,,,
[AXON RESOURCING LTD,79620000,,,,,,,,,,,,,,,,
[XLY420/008/17/AI,79620000,,,,,,,,,,,,,,,,
[PARITY PROFESSIONALS LIMITED,79620000,,,,,,,,,,,,,,,,
[REED SPECIALIST RECRUITMENT,79620000,,,,,,,,,,,,,,,,
[CARBON60 LTD,79620000,,,,,,,,,,,,,,,,
[Ove Arup & Partners Limited,73000000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[Cavendish Nuclear Limited,73000000,,,,,,,,,,,,,,,,
[Capita Business Services,73000000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[SMARTSOURCING PLC,79620000,,,,,,,,,,,,,,,,
[Ove Arup & Partners Limited,73000000,,,,,,,,,,,,,,,,
[LA INTERNATIONAL COMPUTER CONSULTANTS LTD,79620000,,,,,,,,,,,,,,,,
[William Gough & Sons,45453000,,,,,,,,,,,,,,,,
[MASTA LTD,33651600,,,,,,,,,,,,,,,,
[STYLUS TRANSLATION (PHILIPPE GALINIER),79530000,,,,,,,,,,,,,,,,
[UCT LTD,72261000,,,,,,,,,,,,,,,,
[Eversheds,73000000,,,,,,,,,,,,,,,,
[CORPORATE PROJECT SOLUTIONS LTD,48822000,,,,,,,,,,,,,,,,
[TUV SUD LIMITED,73000000,,,,,,,,,,,,,,,,
[RIDGE AND PARTNERS LLP,71352100,,,,,,,,,,,,,,,,
[AECOM LIMITED,71352100,,,,,,,,,,,,,,,,
[Capita Business Services,73000000,,,,,,,,,,,,,,,,
[SUNBIRD SUPPORT SERVICES (PTY) LTD,50000000,,,,,,,,,,,,,,,,
[ALJODIX LTD,71352100,,,,,,,,,,,,,,,,
[TRENTON FIRE LTD,71317200,,,,,,,,,,,,,,,,
[SALESFORCE.COM EMEA LTD,48822000,,,,,,,,,,,,,,,,
[COMPAREX UK LTD,48000000,,,,,,,,,,,,,,,,
[BOTANICS TRADING CO LTD,3452000,,,,,,,,,,,,,,,,
[NATIONAL AIR CARGO (NEDERLAND) B.V.,34711400,,,,,,,,,,,,,,,,
[BSI CYBERSECURITY AND INFORMATION RESILIENCE (UK) LTD,79710000,,,,,,,,,,,,,,,,
[PurchasingEnquiries@fco.gov.uk,72245000,,,,,,,,,,,,,,,,
[COMPUTACENTER UK LTD,44316400,48000000,,,,,,,,,,,,,,,
[CSL - KPMG LLP,80420000,,,,,,,,,,,,,,,,
[Fairview Health Ltd,85149000,,,,,,,,,,,,,,,,
[SB Autocare (Wellingborough) Ltd,50112000,,,,,,,,,,,,,,,,
[The Inform Team Limited,72000000,,,,,,,,,,,,,,,,
[FORD MOTOR COMPANY LTD TRUST A/C,34000000,60112000,,,,,,,,,,,,,,,
[METHODS BUSINESS AND DIGITAL TECHNOLOGY LIMITED,48822000,,,,,,,,,,,,,,,,
[CONCEPT BUILDING SERVICES SOUTHERN LTD,45453100,,,,,,,,,,,,,,,,
[CONCEPT BUILDING SERVICES SOUTHERN LTD,45453100,,,,,,,,,,,,,,,,
[PDP PROJECTS LIMITED,71315000,,,,,,,,,,,,,,,,
[NORDRI LTD,31127000,45311200,,,,,,,,,,,,,,,
[FORD MOTOR COMPANY LTD TRUST A/C,34000000,60112000,,,,,,,,,,,,,,,
[FORD MOTOR COMPANY LTD TRUST A/C,34000000,60112000,,,,,,,,,,,,,,,
[FORD MOTOR COMPANY LTD TRUST A/C,34000000,60112000,,,,,,,,,,,,,,,
[FORD MOTOR COMPANY LTD TRUST A/C,34000000,60112000,,,,,,,,,,,,,,,
[FORD MOTOR COMPANY LTD TRUST A/C,34000000,60112000,,,,,,,,,,,,,,,
[EVODIA LIMITED,72221000,,,,,,,,,,,,,,,,
[DUN & BRADSTREET LIMITED,79980000,,,,,,,,,,,,,,,,
[Plumbing & Heating Services (Staffs) Ltd,45000000,,,,,,,,,,,,,,,,
[G Evans (Services) Ltd,45000000,,,,,,,,,,,,,,,,
[Dawkes,44113000,71420000,,,,,,,,,,,,,,,
[R G Carter,45000000,71540000,,,,,,,,,,,,,,,
[Tigerspike Limited,48000000,48400000,48510000,48482000,,,,,,,,,,,,,
[BROWSER LONDON LTD,72413000,,,,,,,,,,,,,,,,
[JAGUAR LAND ROVER LIMITED,34000000,60100000,,,,,,,,,,,,,,,
[HELLMANN WORLDWIDE LOGISTICS LTD,34130000,60100000,,,,,,,,,,,,,,,
[MORSON INTERNATIONAL,71356000,,,,,,,,,,,,,,,,
[Dawkes & Co Ltd,45340000,,,,,,,,,,,,,,,,
[MORSON INTERNATIONAL,71356000,,,,,,,,,,,,,,,,
[SPECIALIST COMPUTER CENTRES PLC,30200000,,,,,,,,,,,,,,,,
[HELLMANN WORLDWIDE LOGISTICS LTD,34130000,60100000,,,,,,,,,,,,,,,
[ALMEC EAS LTD,35721000,,,,,,,,,,,,,,,,
[SPECIALIST COMPUTER CENTRES PLC,30200000,,,,,,,,,,,,,,,,
[MORSON INTERNATIONAL,71356000,,,,,,,,,,,,,,,,
[NEXOR,48822000,,,,,,,,,,,,,,,,
[CERTES COMPUTING LTD,72224000,,,,,,,,,,,,,,,,
[SPECIALIST COMPUTER CENTRES PLC,30200000,,,,,,,,,,,,,,,,
[Remit Consulting Limited,72150000,,,,,,,,,,,,,,,,
[Deloitte LLP,72224000,79400000,,,,,,,,,,,,,,,
[Central Taxis Ltd T/A Go Carz,60000000,,,,,,,,,,,,,,,,
[A T Brown (Coaches) Ltd,60000000,,,,,,,,,,,,,,,,
[Central Taxis Ltd T/A Go Carz,60000000,,,,,,,,,,,,,,,,
[XMA LIMITED,72222300,,,,,,,,,,,,,,,,
[VEOLIA WATER TECHNOLGIES,42912300,,,,,,,,,,,,,,,,
[OPCARE LIMITED,85000000,,,,,,,,,,,,,,,,
[ASHTON COURT GROUP LIMITED,72224000,,,,,,,,,,,,,,,,
[ASHTON COURT GROUP LIMITED,72222300,,,,,,,,,,,,,,,,
[INSIGHT DIRECT (UK) LTD,72222300,,,,,,,,,,,,,,,,
[University of Stirling,73000000,,,,,,,,,,,,,,,,
[VADOR SECURITY SYSTEMS LIMITED,45000000,,,,,,,,,,,,,,,,
[UK Docks Marine Services,50241000,,,,,,,,,,,,,,,,
[JBA Consulting,73110000,,,,,,,,,,,,,,,,
[Capital Conflict Management,85312300,85312320,98000000,,,,,,,,,,,,,,
[SPECIALIST COMPUTER CENTRES PLC,30231000,,,,,,,,,,,,,,,,
[CAMMELL LAIRD SHIPREPAIRERS & SHIPBUILDERS LIMITED,50241000,,,,,,,,,,,,,,,,
[A&P GROUP LIMITED,50241000,,,,,,,,,,,,,,,,
[CAMMELL LAIRD SHIPREPAIRERS & SHIPBUILDERS LIMITED,50241000,,,,,,,,,,,,,,,,
[P K ELECTRICAL (CARLISLE) LIMITED,45000000,,,,,,,,,,,,,,,,
[Heather Downey,79000000,,,,,,,,,,,,,,,,
[THE WAY DESIGN LTD,79000000,,,,,,,,,,,,,,,,
[INTEGRATED TRANSPORT PLANNING LIMITED,71311200,,,,,,,,,,,,,,,,
[GMS Security Services Limited,79713000,,,,,,,,,,,,,,,,
[Davis & Hadwin Ltd,45000000,,,,,,,,,,,,,,,,
[Lear,73110000,79311400,,,,,,,,,,,,,,,
[3tc Software,48000000,48100000,,,,,,,,,,,,,,,
[WSP,73000000,,,,,,,,,,,,,,,,
[Mobysoft Ltd,48000000,,,,,,,,,,,,,,,,
[WSP,73000000,,,,,,,,,,,,,,,,
[Arcadis,73000000,,,,,,,,,,,,,,,,
[Learning Pool Limited,48000000,,,,,,,,,,,,,,,,
[Frontline Data Ltd,72000000,,,,,,,,,,,,,,,,
[MK40 Architects Ltd,71221000,71313200,71420000,,,,,,,,,,,,,,
[BIOCHEMICA WATER LIMITED,50512000,50513000,50712000,,,,,,,,,,,,,,
[Axiom Group Ltd,39531000,39534000,,,,,,,,,,,,,,,
[Cumbria Chamber of Commerce and Industry Ltd,79400000,79410000,66171000,79413000,79415000,79419000,79414000,79412000,79416000,79417000,79418000,,,,,,
[Airwave Solutions Ltd,35710000,35711000,42961000,,,,,,,,,,,,,,
[INSIGHT DIRECT (UK) LTD,48000000,,,,,,,,,,,,,,,,
[Investors In People,80000000,,,,,,,,,,,,,,,,
[Lea Vale Medical Group,85120000,,,,,,,,,,,,,,,,
[Meisterworks Ltd,73000000,,,,,,,,,,,,,,,,
[CACI Ltd,71356200,,,,,,,,,,,,,,,,
[GT SEALANTS LTD,71310000,,,,,,,,,,,,,,,,
[Vertigo Ventures,48000000,,,,,,,,,,,,,,,,
[Little Forest Ltd,72000000,,,,,,,,,,,,,,,,
[WYG Engineering Limited,79300000,,,,,,,,,,,,,,,,
[Goodfellow Builders Ltd,45453100,,,,,,,,,,,,,,,,
[TYNETEC LIMITED,98000000,,,,,,,,,,,,,,,,
[Kings Centre Southall,80510000,,,,,,,,,,,,,,,,
[GB GROUP PLC,48000000,,,,,,,,,,,,,,,,
[Veolia ES (UK) Limited,90500000,,,,,,,,,,,,,,,,
[QBE Insurance via RMP,66510000,66512100,66514110,66516000,66516100,66516400,66516500,66519200,,,,,,,,,
[Prestige Cars,60000000,,,,,,,,,,,,,,,,
[CURRIE & BROWN UK LIMITED,44000000,45000000,71000000,,,,,,,,,,,,,,
[JR Landscaping and Property Maintenance,45112720,,,,,,,,,,,,,,,,
[Configured Things Limited,32412000,,,,,,,,,,,,,,,,
[CANON (U K) LTD,30000000,,,,,,,,,,,,,,,,
[Enviromontel,45000000,,,,,,,,,,,,,,,,
[PTV (UK) Ltd,48000000,,,,,,,,,,,,,,,,
