service_description,service_cat
Telephones : Central,member
Grounds : R & M : Day to Day : Routine,maintenance
Miscellaneous,misc
Capital,finance
Computer Charges,expense
Tprt : Annual Hire Charge,expense
Bldgs : R & M : Day To Day,maintenance
Seminars etc All Costs,finance
Subscriptions & Donations,member
Other Expenses,expense
Computers,data
PUBLIC HEALTH,health
CUSTOMERS & CORPORATE SERVICES,business
ECONOMY DIRECTORATE,finance
PROPERTY AND HIGHWAYS,maintenance
CHILDREN’S SOCIAL CARE,health
NEIGHBOURHOODS AND ENVIRONMENT,environment
FINANCE SERVICES,finance
ECONOMY AND ENVIRONMENT,economy
EARLY HELP AND SCHOOLS,education
RESOURCES,misc
LEARNING DIS & MENTAL HEALTH,health
ADULT CARE LCO FUNCTIONS,health
CONTROL ACCOUNT,member
BETTER CARE FUND POOLED BUDGET,health
PHYSICAL DIS & OLDER PEOPLE,health
COMMISSIONING AND STATUTORY,member
Human Resources Training & Conferences ,education
Consultancy   ,finance
"Works - Construction, Repair & Maintenance Engineering ",maintenance
Supplies and services,business
"Works - Construction, Repair & Maintenance  ",maintenance
Social Community Care Supplies & Services  ,health
Environmental Services Waste Management,environment
Financial Services Audit ,finance
Information Communication Technology  ,data
Financial Services Subscriptions ,finance
Education Library Books ,education
Financial Services  ,finance
Fees and Charges,expense
