"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"RM971 - STHREE PARTNERSHIP LLP",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-09-17T09:46:51Z,"The Supply of Non Medical Non Clinical (NMNC) and Fixed Term Staff","This Framework Agreement is for the Supply of Non Medical Non Clinical temporary and fixed term staff. The Framework Agreement will bring together a comprehensive range of suppliers providing a mix of national and local coverage.

This Framework Agreement comprises of eight (8) lots, listed as followed:

Lot 1 — Neutral Vendor Supply,

Lot 2 — Master Vendor Supply,

Lot 3 — Admin and Clerical Supply,

Lot 4 — Corporate Functions Supply,

Lot 5 — IT Professionals Supply,

Lot 6 — Legal Supply,

Lot 7 — Clinical Coding Supply,

Lot 8 — Ancillary Staff Supply.",,,"Any region","79600000 85100000 ",,nmnc@crowncommercial.gov.uk,"The Capital, 9th Floor,","Old Hall Street,",Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"SThree Partnership LLP REDACTED.pdf ",,,01/07/2015,30/06/2017,07/01/2015,YES,"RM971 - Access Computer Consulting plc",Yes,Yes,No,Services,600000000,2000000000,23/06/2015,0,"[STHREE PARTNERSHIP LLP|1st Floor, 75 King William Street, London, EC4N 7BE|||No|No]",,01/07/2015,30/06/2017,"Open ",
"UK SBS CS20433 - Salesforce Consultant",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-10-28T10:01:37Z,"UK SBS CS20433 - Salesforce Consultant","***Please note this is an award notice, not a call for competition*** UK Research and Innovation have a requirement to bring in a Salesforce Consultant. This has been sourced via direct award against CCS RM6160 Non Clinical Temporary and Fixed Term Staff Framework.",,"SN2 1FL",,"79620000 ",,professionalservices@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,,,,,,19/10/2020,15/03/2021,13/10/2020,NO,,Yes,No,No,Services,52896,,14/10/2020,52896,"[STHREE PARTNERSHIP LLP|1st Floor,75 King William Street
LONDON
EC4N 7BE
GB|COMPANIES_HOUSE|OC387148|No|No]",,19/10/2020,15/03/2021,"CallOffFromFrameworkAgreement ",,23:00
"UK SBS CS20442 - Salesforce Administrator",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-10-28T09:49:16Z,"UK SBS CS20442 - Salesforce Administrator","***Please note this is an award notice, not a call for competition*** UK Research and Innovation have a requirement to bring in a Salesforce Administrator. This has been sourced via direct award against CCS RM6160 Non Clinical Temporary and Fixed Term Staff Framework.",,"SN2 1FL",,"79620000 ",,professionalservices@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,,,,,,02/11/2020,29/03/2021,22/10/2020,NO,,Yes,No,No,Services,45027,,23/10/2020,45027,"[STHREE PARTNERSHIP LLP|1st Floor,75 King William Street
LONDON
EC4N 7BE
GB|COMPANIES_HOUSE|OC387148|No|No]",,02/11/2020,29/03/2021,"CallOffFromFrameworkAgreement ",,23:00
"UK SBS CS20441 - Business Analyst",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-10-28T09:24:08Z,"UK SBS CS20441 - Business Analyst","***Please note this is an award notice, not a call for competition*** UK Research and Innovation have a requirement to bring in a Business Analyst. This has been sourced via direct award against CCS RM6160 Non Clinical Temporary and Fixed Term Staff Framework.",,"SN2 1FL",,"79620000 ",,professionalservices@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,,,,,,26/10/2020,22/03/2021,22/10/2020,NO,,Yes,No,No,Services,52200,,23/10/2020,52200,"[STHREE PARTNERSHIP LLP|1st Floor,75 King William Street
LONDON
EC4N 7BE
GB|COMPANIES_HOUSE|OC387148|No|No]",,26/10/2020,22/03/2021,"CallOffFromFrameworkAgreement ",,23:00
"UK SBS CS20433 - Salesforce Developer",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-10-23T15:22:08Z,"UK SBS CS20433 - Salesforce Developer","***Please note this is an award notice, not a call for competition*** UK Research and Innovation have a requirement to bring in a Salesforce Developer. This has been sourced via direct award against CCS RM6160 Non Clinical Temporary and Fixed Term Staff Framework.",,"SN1 1FL",,"79620000 ",,professionalservices@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,,,,,,19/10/2020,15/03/2021,13/10/2020,NO,,Yes,No,No,Services,52896,,14/10/2020,52896,"[STHREE PARTNERSHIP LLP|1st Floor,75 King William Street
LONDON
EC4N 7BE
GB|COMPANIES_HOUSE|OC387148|No|No]",,19/10/2020,15/03/2021,"CallOffFromFrameworkAgreement ",,23:00
"UK SBS CS20421 - Salesforce Technical BA",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-10-23T08:52:34Z,"UK SBS CS20421 - Salesforce Technical BA","***Please note this is an award notice, not a call for competition*** UK Research and Innovation have a requirement to bring in a Salesforce Technical BA. This has been sourced via direct award against CCS RM6160 Non Clinical Temporary and Fixed Term Staff Framework.",,"SN2 1FL",,"79620000 ",,professionalservices@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,,,,,,12/10/2020,31/12/2020,06/10/2020,NO,,Yes,No,No,Services,28563.84,,07/10/2020,28563.84,"[STHREE PARTNERSHIP LLP|1st Floor,75 King William Street
LONDON
EC4N 7BE
GB|COMPANIES_HOUSE|OC387148|No|No]",,12/10/2020,31/12/2020,"CallOffFromFrameworkAgreement ",,23:00
282374,Contract,"University Of The West Of England",Awarded,2020-10-20T15:51:09Z,"Web Project Consultancy","Web Project Consultancy",,"BS16 1QY",,"72600000 ","UWE Procurement",purchasing@uwe.ac.uk,"Coldharbour Lane",,BRISTOL,BS161QY,England,01173282227,,,,,15/08/2020,16/08/2020,14/08/2020,NO,,No,No,No,Services,32160,,14/08/2020,32160,"[STHREE PARTNERSHIP LLP|1st Floor,75 King William Street
LONDON
EC4N 7BE
GB|COMPANIES_HOUSE|OC387148|No|No]",,15/08/2020,16/08/2020,"Other SAW",,00:00
"UKSBS UKRI CS20407 RM6160 Salesforce Developer",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-10-15T16:32:37Z,"CS20407 RM6160 Salesforce Developer","***Please note this is an award notice, not a call for competition***
UK Research and Innovation have a requirement to extend a temporary Salesforce Developer. This has been sourced via direct award against CCS RM6160 Non Clinical Temporary and Fixed Term Staff Framework.",,,"United Kingdom","79620000 ","Abbie Cousens",Abbie.Cousens@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,"01793 867005",www.uksbs.co.uk,,,,01/10/2020,12/02/2021,30/09/2020,NO,,Yes,No,No,Services,41148.33,,30/09/2020,41148.33,"[STHREE PARTNERSHIP LLP|1st Floor,75 King William Street
LONDON
EC4N 7BE
GB|COMPANIES_HOUSE|OC387148|No|No]",,01/10/2020,12/02/2021,"CallOffFromFrameworkAgreement ",,12:00
"UK SBS CS20356 - Product Owner",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-09-17T08:41:47Z,"UK SBS CS20356 - Product Owner","***Please note this is an award notice, not a call for competition*** UK Research and Innovation have a requirement to bring in a Product Owner. This has been sourced via direct award against CCS RM6160 Non Clinical Temporary and Fixed Term Staff Framework.",,"EC4N 7BE",,"79620000 ",,professionalservices@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,,,,,,24/08/2020,31/12/2020,21/08/2020,NO,,Yes,No,No,Services,58247.28,,24/08/2020,58247.28,"[STHREE PARTNERSHIP LLP|1st Floor,75 King William Street
LONDON
EC4N 7BE
GB|COMPANIES_HOUSE|OC387148|No|No]",,24/08/2020,31/12/2020,"CallOffFromFrameworkAgreement ",,23:00
"UK SBS CS20353 - Sales Force Developer",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-09-16T15:36:44Z,"UK SBS CS20353 - Sales Force Developer","***Please note this is an award notice, not a call for competition*** UK Research and Innovation have a requirement to bring in a Sales Force Developer. This has been sourced via direct award against CCS RM6160 Non Clinical Temporary and Fixed Term Staff Framework.",,"EC4N 7BE",,"79620000 ",,professionalservices@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,,,,,,09/09/2020,31/12/2020,24/08/2020,NO,,Yes,No,No,Services,36224,,25/08/2020,36224,"[STHREE PARTNERSHIP LLP|1st Floor,75 King William Street
LONDON
EC4N 7BE
GB|COMPANIES_HOUSE|OC387148|No|No]",,09/09/2020,31/12/2020,"CallOffFromFrameworkAgreement ",,23:00
279406,Contract,"University Of The West Of England",Awarded,2020-04-03T15:34:31Z,"Recruitment of Testing Consultant","Recruitment of Testing Consultant until 07/06/2020.",,"BS16 1QY",,"79600000 ","UWE Procurement",purchasing@uwe.ac.uk,"Coldharbour Lane",,BRISTOL,BS161QY,England,01173282227,,,,,24/03/2020,25/03/2020,23/03/2020,NO,,No,No,No,Services,28500,,23/03/2020,28500,"[SThree Partnership LLP T/A Real Staffing|75 King William Street
London
United Kingdom
EC4N 7BE|NONE_OTHER||No|No]",,24/03/2020,25/03/2020,"CallOffFromFrameworkAgreement ",
