Spend over £25k - February 2016 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,23/02/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818432,"£41,198.45",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,01/02/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818150,"£40,569.80",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,12/02/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818309,"£38,625.80",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,10/02/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818269,"£36,747.61",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,23/02/2016,Managed Services,Information Services,Bytes Software Services Ltd,818425,"£71,912.40",ICT Support,KT22 7TW,Admin Class
Department of Education,OFSTED,19/02/2016,ICT Systems,Information Services,CACI Ltd,818412,"£391,560.82",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,19/02/2016,ICT Systems,Information Services,CACI Ltd,818402,"£65,340.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,19/02/2016,ICT Systems,Information Services,CACI Ltd,818404,"£44,775.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,08/02/2016,Travel,Corporate Transactions,Calder Conferences Ltd,818235,"£139,300.27",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,01/02/2016,Managed Services,Information Services,CGI IT UK Ltd,818139,"£283,518.98",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,18/02/2016,Managed Services,Information Services,CGI IT UK Ltd,818377,"£283,518.98",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,01/02/2016,Managed Services,Information Services,CGI IT UK Ltd,818137,"£74,547.18",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,23/02/2016,Managed Services,Information Services,CGI IT UK Ltd,818445,"£74,109.06",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,18/02/2016,Accommodation Service Charge,Finance and Resources,Dept for Communities & Local Govt,818370,"£232,966.59",Accommodation Service Charge,HP2 4XN,Programme Class
Department of Education,OFSTED,08/02/2016,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,818239,"£27,205.80",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,18/02/2016,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,818350,"£46,724.71",Accommodation Rent and Service Charge,RH4 1QP,Programme Class
Department of Education,OFSTED,18/02/2016,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,818349,"£35,122.29",Accommodation Rent and Service Charge,RH4 1QP,Programme Class
Department of Education,OFSTED,18/02/2016,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,816406,"-£25,609.48",Accommodation Rent and Service Charge,RH4 1QP,Programme Class
Department of Education,OFSTED,18/02/2016,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,816405,"-£34,068.66",Accommodation Rent and Service Charge,RH4 1QP,Programme Class
Department of Education,OFSTED,04/02/2016,Contracted Inspection Costs,ISP Contracts,Prospects Learning Services Lt,818198,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,08/02/2016,Travel,Corporate Transactions,Redfern Travel Ltd,818233,"£343,865.96",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,01/02/2016,Managed Services,Inspection Data & Insight,RM Education,818145,"£36,319.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,29/02/2016,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,97,"£43,716.43",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,01/02/2016,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,96,"£41,117.97",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,02/02/2016,Miscellaneous Equipment,Finance and Resources,Specialist Computer Centres,818169,"£404,638.08",IT Hardware,B11 2LE,Admin Class
Department of Education,OFSTED,02/02/2016,Miscellaneous Equipment,Finance and Resources,Specialist Computer Centres,818168,"£95,914.56",IT Hardware,B11 2LE,Admin Class
Department of Education,OFSTED,23/02/2016,Recruitment,HR Organisational Development,TMP (UK) Ltd,818447,"£32,450.10",Recruitment Advertising,W1T 7RQ,Programme Class
