Spend over £25k - April 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,20/04/2016,Legal,Legal & Information,Beachcroft LLp,819203,"£26,115.78",Legal Services,BS99 7UR,Admin Class
Department of Education,OFSTED,01/04/2016,Managed Services,Early Years Development,Bramble.cc Ltd,818848,"£129,262.70",ICT Support,SE1 7SP,Programme Class
Department of Education,OFSTED,01/04/2016,Managed Services,"Applications, Regulatory and Contact",Bramble.cc Ltd,818827,"£32,715.00",ICT Support,SE1 7SP,Programme Class
Department of Education,OFSTED,01/04/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,818924,"£37,913.46",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,18/04/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,819165,"£36,931.02",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,22/04/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,819224,"£34,948.91",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,11/04/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,819086,"£32,869.46",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,11/04/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,819077,"£32,067.49",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,08/04/2016,Managed Services,Information Services,Bytes Software Services Ltd,819053,"£30,170.88",ICT Support,KT22 7TW,Admin Class
Department of Education,OFSTED,05/04/2016,ICT Systems,Information Services,CACI Ltd,818974,"£79,110.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,14/04/2016,ICT Systems,Information Services,CACI Ltd,819144,"£65,375.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,14/04/2016,ICT Systems,Information Services,CACI Ltd,819151,"£48,325.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,01/04/2016,ICT Systems,Information Services,CACI Ltd,818941,"£44,850.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,19/04/2016,Managed Services,Information Services,CGI IT UK Ltd,819185,"£277,288.04",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,01/04/2016,Managed Services,Early Years Development,CGI IT UK Ltd,818856,"£180,643.28",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,19/04/2016,Managed Services,Information Services,CGI IT UK Ltd,819188,"£73,394.58",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,12/04/2016,Internal Audit,Finance,Deloitte & Touche LLP,819107,"£35,735.00",Internal Audit Services,MK9 1FD,Admin Class
Department of Education,OFSTED,19/04/2016,Accommodation Service Charge,Finance and Resources,Dept for Communities & Local Govt,819177,"£37,879.92",Accommodation Rent and Service Charge,HP2 4XN,Admin Class
Department of Education,OFSTED,07/04/2016,Corporate Contracts,Finance and Resources,Enterprise Rent-a-Car,819035,"£43,521.38",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,07/04/2016,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,819041,"£31,605.86",Accommodation Rent and Service Charge,RH4 1QP,Programme Class
Department of Education,OFSTED,14/04/2016,Accommodation Service Charge,Finance and Resources,Food Standards Agency,819133,"£265,019.84",Accommodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,04/04/2016,ICT Commodities,Information Services,Huddle (Ninian Solutions Ltd),818950,"£72,144.00",ICT Support,E1 8EP,Admin Class
Department of Education,OFSTED,27/04/2016,ICT Systems,Information Services,Microsoft Limited,819266,"£99,901.18",ICT Support,RG6 1WG,Admin Class
Department of Education,OFSTED,08/04/2016,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,819050,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,01/04/2016,Travel,Finance and Resources,Redfern Travel Ltd,818793,"£378,910.62",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,07/04/2016,Travel,Finance and Resources,Redfern Travel Ltd,819037,"£370,583.81",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,01/04/2016,Managed Services,Inspection Data & Insight,RM Education,818926,"£33,307.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,01/04/2016,Corporate Transactions,Finance and Resources,Royal Bank of Scotland,98,"£46,508.99",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,04/04/2016,Miscellaneous Equipment,Information Services,Specialist Computer Centres,818948,"£34,671.76",ICT Support,B11 2LE,Admin Class
Department of Education,OFSTED,07/04/2016,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,160478,"£125,265.00",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,01/04/2016,Managed Services,Information Services,UNIT 4 Business Software Ltd CODA Di,818865,"£49,211.60",ICT Support,BS20 0PX,Programme Class
Department of Education,OFSTED,20/04/2016,Fleet,Finance and Resources,Willis Limited,819196,"£39,990.00",Vehicle Hire,BS8 1BQ,Admin Class
Department of Education,OFSTED,01/04/2016,ICT Systems,Information Services,XMA Limited,818933,"£99,995.78",ICT Support,NG11 7EP,Admin Class
Department of Education,OFSTED,11/04/2016,Managed Services,Communications,Zoocha Limited,819070,"£34,450.00",ICT Support,SG14 1PX,Admin Class
