Spend over £25k - June 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type ,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,14/06/2016,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,819725,"£2,914,245.00",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,10/06/2016,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,819734,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,23/06/2016,Managed Services,Information Services,CGI IT UK Ltd,819843,"£277,734.08",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,13/06/2016,Managed Services,Information Services,Bramble.cc Ltd,819760,"£151,173.96",ICT Support,SE1 7SP,Admin Class
Department of Education,OFSTED,23/06/2016,Accommodation Service Charge,Finance and Resources,Gva Grimley,819847,"£123,094.00",Accommodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,23/06/2016,Accommodation Service Charge,Finance and Resources,Gva Grimley,819846,"£122,524.87",Accommodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,06/06/2016,Travel,Corporate Transactions,Calder Conferences Ltd,819678,"£88,546.77",Meetings and Events,LS16 6RF,Programme Class
Department of Education,OFSTED,23/06/2016,Managed Services,Information Services,CGI IT UK Ltd,819844,"£73,787.05",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,15/06/2016,ICT Systems,Information Services,CACI Ltd,819775,"£72,540.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,15/06/2016,ICT Systems,Information Services,CACI Ltd,819776,"£69,120.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,29/06/2016,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,819895,"£56,530.19",Accommodation Rent and Service Charge,RH4 1QP,Programme Class
Department of Education,OFSTED,01/06/2016,Accommodation Service Charge,Finance and Resources,Food Standards Agency,819625,"£51,816.09",Accommodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,20/06/2016,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,819817,"£50,120.97",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,01/06/2016,Corporate Transactions,Finance and Resources,Royal Bank of Scotland,100,"£44,780.95",Corporate Purchasing Card,EC2M 4RB,Programme Class
Department of Education,OFSTED,29/06/2016,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,819894,"£37,608.29",Accommodation Rent and Service Charge,RH4 1QP,Programme Class
Department of Education,OFSTED,01/06/2016,Travel,Corporate Transactions,Calder Conferences Ltd,819631,"£35,272.81",Meetings and Events,LS16 6RF,Programme Class
Department of Education,OFSTED,24/06/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,819850,"£26,890.04",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,14/06/2016,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,702350,"-£93,348.00",Inspection Service Provider,S2 4AN,Programme Class
