Spend over £25k - September 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,08/09/2016,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,820569,"£2,130,991.00",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,20/09/2016,Contracted Inspection Costs,ISP Contracts,Prospects Learning Services Lt,820689,"£952,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,20/09/2016,Managed Services,Information Services,CGI IT UK Ltd,820694,"£277,734.08",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,14/09/2016,ICT Systems,Information Services,CACI Ltd,820627,"£184,800.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,05/09/2016,Travel,Finance and Resources,Redfern Travel Ltd,820500,"£176,698.65",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,01/09/2016,Accommodation Service Charge,Property Division,Gva Grimley,820455,"£123,165.00",Accommodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,01/09/2016,Accommodation Service Charge,Property Division,Gva Grimley,820456,"£122,595.13",Accommodation Rent and Service Charge,B1 2JJ,Admin Class
Department of Education,OFSTED,20/09/2016,Travel,Corporate Transactions,Calder Conferences Ltd,820698,"£99,448.41",Meetings and Events,LS16 6RF,Programme Class
Department of Education,OFSTED,14/09/2016,ICT Systems,Information Services,CACI Ltd,820645,"£95,520.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,20/09/2016,Managed Services,Information Services,CGI IT UK Ltd,820695,"£70,198.43",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,14/09/2016,ICT Systems,Information Services,CACI Ltd,820640,"£66,810.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,27/09/2016,Travel,Corporate Transactions,Calder Conferences Ltd,820750,"£64,706.51",Meetings and Events,LS16 6RF,Programme Class
Department of Education,OFSTED,28/09/2016,Managed Services,Inspection Data & Insight,RM Education,820785,"£64,647.08",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,14/09/2016,ICT Systems,Information Services,CACI Ltd,820639,"£63,090.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,14/09/2016,ICT Systems,Information Services,CACI Ltd,820628,"£56,940.00",ICT Support,W14 8TS,Programme Class
Department of Education,OFSTED,09/09/2016,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,820583,"£56,530.19",Accommodation Rent and Service Charge,RH4 1QP,Programme Class
Department of Education,OFSTED,21/09/2016,Contracted Inspection Costs,Schools Development,Care Quality Commission,160849,"£50,514.00",Inspection Service Provider,WF3 1WE,Programme Class
Department of Education,OFSTED,09/09/2016,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,820582,"£37,608.29",Accommodation Rent and Service Charge,RH4 1QP,Programme Class
Department of Education,OFSTED,02/09/2016,Managed Services,Inspection Data & Insight,RM Education,820495,"£33,307.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,16/09/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820659,"£29,819.38",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,23/09/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820730,"£28,386.41",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,02/09/2016,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,820497,"£28,315.89",Contingent Labour,AL1 4ZX,Admin Class
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
