"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"WP1613 INSIGHT DIRECT (UK) LTD",Contract,"Government Digital Service",Awarded,2019-01-03T12:09:29Z,"WP1613 INSIGHT DIRECT (UK) LTD","WP1613 INSIGHT DIRECT (UK) LTD",,,London,"48900000 ","Commissioning Team Commissioning Team",commissioning-digital@digital.cabinet-office.gov.uk,"The White Chapel Building, 10 Whitechapel High Street, London, E1 8Q",,London,"E1 8Q",England,,,,,,19/11/2018,18/11/2019,23/08/2018,NO,,No,No,No,Services,24461,,10/09/2018,24461,"[INSIGHT DIRECT (UK) LTD|Insight Campus, Terry Street
M17 1EX
GB|COMPANIES_HOUSE|02579852|No|No]",,19/11/2018,18/11/2019,"CallOffFromFrameworkAgreement ",
con_COL_7694,Contract,"THE CITY OF LONDON",Awarded,2016-08-12T13:39:35Z,"Insight Direct (UK) Ltd EUD (Call Off Contract) EA16-NFC39","CCS E-auction for End User Devices (Laptops, PC, Monitors, Tablets)",,,London,"30000000 ","Robert Pine",robert.pine@cityoflondon.gov.uk,"PO Box 270",Guildhall,London,"EC2P 2EJ",England,,,,,,02/06/2016,01/06/2018,01/06/2016,NO,,No,No,No,Products,77950,,21/06/2016,155900,"[Insight Direct UK Ltd|The Atrium
1 Harefield Road
Uxbridge
Middlesex           
UB8 1PH|||No|No]",,21/06/2016,22/07/2018,"Restricted ",
ICT12453,Contract,"TRANSPORT FOR LONDON",Awarded,2016-09-19T11:35:20Z,"CYCLE HIRE BMC LICENCES","Insight Direct UK Ltd. The Technology Building, Insight Campus, Terry Street, Sheffield, South Yorkshire S9 2BU",,,London,"48000000 ",,CommercialCoE@TfL.gov.uk,"50 Victoria Street,",,London,"SW1H 0TL",England,,,"Scan_BMC redacted contract142132.pdf ",,,24/06/2016,23/06/2021,24/06/2016,NO,,No,No,No,Services,154942,154942,24/06/2016,154942,"[Insight Direct UK Ltd.|The Technology Building, Insight Campus, Terry Street, Sheffield, South Yorkshire S9 2BU|||No|No]",,24/06/2016,23/06/2021,"Other ",
2016-1422,Contract,"South Yorkshire Police Headquarters",Awarded,2017-03-13T09:41:29Z,"Award of WYP Infrastructure Hardware","Contracts awarded as per the Lots below:

LOT 1 - HP BLADE SERVERS AND STORAGE - Insight Direct (UK) Ltd

LOT 2 - CISCO/CITRIX COMPONENTS - Computacenter (UK) Ltd

LOT 3 - DELL-EMC COMPONENTS - Computacenter (UK) Ltd

LOT 4 - DELL OR HP SERVERS - Insight Direct (UK) Ltd",,,"Yorkshire and the Humber","30200000 ",,laura.betts@southyorks.pnn.police.uk,"SYP HQ, Carbrook House, 5 Carbrook Hall Rd",,Sheffield,"S9 2EH",England,,,,,,23/02/2017,22/02/2021,27/01/2017,NO,,Yes,No,No,Products,887021.22,,15/02/2017,887021.22,"[Insight Direct (UK) Ltd|5th Floor, Metro Building
Trafford Road
Salfor Quays
Salford
Manchester
M5 3NN|||No|No][Computacenter (UK) Ltd|Hatfield
Hatfield Business Park
Hatfield Avenue
Hatfield
Hertfordshire
AL10 9TW|||No|No]",,23/02/2017,22/02/2021,"Other ",
DDaT19233,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-11-08T11:43:44Z,"UKSBS DDaT19233 - Varonis data classification and security tool","This award is for the purchase of the Varonis data classification and security tool for a three year term. This subscription includes:

DatAdvantage for Windows Onprem subscription for 650 Users for 36 Months;
Data Classification Framework for Windows and SharePoint Onprem
subscription for 650 Users;
Data Classification Policy Pack On-prem subscription for 650 Users for 36 Months;
1 Collector On-prem subscription for 36 Months;
DatAlert Suite On-prem subscription for 650 Users for 36 Months;
Automation Engine On-prem subscription for 650 Users for 36 Months;
7 Professional Services Engagement (1 day).

This award was undertaken via a Call off from a Framework Agreement and the award will be to Insight Direct UK Ltd.",,"SN2 1FF",,"48730000 72212731 72212732 72268000 72330000 ","Liam Tucker",ddatprocurement@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,"SN2 1FF",England,,,,,,29/11/2019,28/11/2022,28/11/2019,NO,,Yes,No,No,Products,157499.94,,28/11/2019,157499.94,"[Insight Direct UK Ltd|Metro Building - Level 5
33 Trafford Road
Salford
M5 3NN|COMPANIES_HOUSE|02579852|Yes|No]",,29/11/2019,28/11/2022,"CallOffFromFrameworkAgreement ",
846.2,Contract,"SOUTH CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",Awarded,2020-05-19T11:44:51Z,"846.2 - Provision of Microsoft Office Licenses for Somerset, and Oxfordshire CCGs","NHS South, Central and West Commissioning Support Unit (SCW) have awarded a contract for the Provision of Microsoft Office Licenses for Somerset, and Oxfordshire CCGs to Insight Direct (UK) Ltd on behalf of Somerset and Oxfordshire CCGs, via Further Competition under Crown Commercial Services (CCS) Technology Products 2 Framework Agreement RM3733 (Lot 2 - Packaged Software).",,,"South West","48218000 ","Morgan Sample",morgan.sample@nhs.net,"2nd Floor, Albert House",,"High Wycombe","HP11 1AG",England,,,,,,31/03/2020,30/03/2021,20/03/2020,NO,,Yes,Yes,No,Products,38046.4,,31/03/2020,38046.4,"[Insight Direct (UK) Ltd|Technology Building, Insight Campus, Terry Street, Sheffield, S9 2BU|COMPANIES_HOUSE|2579852|No|No]",,31/03/2020,30/03/2021,"CallOffFromFrameworkAgreement ",
tender_222991/852732,Contract,"Public Health England",Awarded,2020-04-28T12:11:25Z,"Money and People Services (MaPS) System Integrator","PHE has awarded a contract to Insight Direct (UK) Ltd to implement the upgrade of their Enterprise Resource Planning system to a cloud based solution. The contract was awarded under Lot 2  (Transition and Transformation) of Crown Commercial Service's Technology Services 2 RM3804 framework.",,,"Any region","48000000 ",,tenders@phe.gov.uk,"Wellington House, 133-155 Waterloo Road, London",,London,"SE1 8UG",England,,,,"https://phe.bravosolution.co.uk/web/login.shtml ",,20/04/2020,19/04/2022,10/02/2020,NO,,Yes,No,No,Services,1877453,,27/02/2020,1877453,"[Insight Direct (UK) Ltd|Technology Building, Insight Campus, Terry Street, Sheffield, S9 2BU|COMPANIES_HOUSE|02579852|No|No]",,20/04/2020,19/04/2022,"CallOffFromFrameworkAgreement ",
NHSULH-DN241625-68952010,Contract,"United Lincolnshire Hospitals NHS Trust",Awarded,2017-05-31T13:49:50Z,"Hardware - Maternity System","Awarded to Insight Direct UK Ltd",,,"East Midlands","30210000 ","Sanjeev Sharma",Sanjeev.Sharma@ULH.nhs.uk,"Gervas House","Long Leys Road",Lincoln,"LN1 1EJ",England,"+44 1522421536",http://www.ulh.nhs.uk/,,,,03/04/2017,03/10/2017,27/02/2017,NO,,No,No,No,Products,0,,06/04/2017,0,"[Insight Direct UK Ltd|The Atrium
1 Harefield Road
Uxbridge,
UBB 1PH|||No|No]",,07/04/2017,31/03/2018,"Open ",
7620112792,Contract,"FCO SERVICES",Awarded,2015-03-19T11:03:38Z,"IT Hardware and Solutions","Call off from CCS Framework, RM1692 - http://gps.cabinetoffice.gov.uk/contracts/rm1692",,"MK19 7BH","South East","30000000 72000000 48000000 ",,CSCG.Governancesupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",04/12/2014,04/12/2014,04/12/2014,NO,,Yes,No,No,Products,41747.7,,04/12/2014,41747.7,"[Insight Direct (UK) Ltd|UB8 1PH|||No|No][Insight Direct (UK) Ltd|UB8 1PH|||No|No][Insight Direct (UK) Ltd|UB8 1PH|||No|No]",,04/12/2014,04/12/2014," ",
7620115723,Contract,"FCO SERVICES",Awarded,2015-03-19T10:51:58Z,"IT Hardware and Solutions","Call off from CCS Framework, RM1692 - http://gps.cabinetoffice.gov.uk/contracts/rm1692",,"MK19 7BH","South East","30000000 72000000 48000000 ",,CSCG.Governancesupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",26/11/2014,26/11/2014,26/11/2014,NO,,Yes,No,No,Products,53102.87,,26/11/2014,53102.87,"[Insight Direct (UK) Ltd|UB8 1PH|||No|No][Insight Direct (UK) Ltd|UB8 1PH|||No|No][Insight Direct (UK) Ltd|UB8 1PH|||No|No]",,26/11/2014,26/11/2014," ",
7620112734,Contract,"FCO SERVICES",Awarded,2015-03-19T10:44:05Z,"IT Hardware and Solutions","Call off from CCS Framework, RM1692 - http://gps.cabinetoffice.gov.uk/contracts/rm1692",,"MK19 7BH","South East","30000000 72000000 48000000 ",,CSCG.Governancesupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",25/09/2014,25/09/2014,25/09/2014,NO,,Yes,No,No,Products,159481.91,,25/09/2014,159481.91,"[Insight Direct (UK) Ltd|UB8 1PH|||No|No][Insight Direct (UK) Ltd|UB8 1PH|||No|No][Insight Direct (UK) Ltd|UB8 1PH|||No|No]",,25/09/2014,25/09/2014," ",
