"document_date","po_number","line_number","supplier_id","supplier_name","pro_class","pro_class_description","desc_goods","service","expense_area","po_value"
"2017-04-03","ZAV270781","1","1162","RM Education plc","181800","Environmental Services Technical Equipment ","Furniture and Equipment","Corporate and Support Services","I&C AVA Services","6005.4"
"2017-04-21","ZAV271567","1","1162","RM Education plc","181800","Environmental Services Technical Equipment ","Furniture and Equipment","Corporate and Support Services","I&C AVA Services","15250"
"2017-04-27","ZAV271915","1","1162","RM Education plc","181800","Environmental Services Technical Equipment ","Furniture and Equipment","Corporate and Support Services","I&C AVA Services","18016.2"
"2017-05-12","ZAV272623","1","10809","e-safe Systems Limited","210000","Furniture & Soft Furnishings  ","Furniture and Equipment","Corporate and Support Services","I&C AVA Services","36511.8"
"2017-06-27","ZAV274484","1","10809","e-safe Systems Limited","210000","Furniture & Soft Furnishings  ","Furniture and Equipment","Corporate and Support Services","I&C AVA Services","2563"
"2017-06-27","ZAV274484","2","10809","e-safe Systems Limited","210000","Furniture & Soft Furnishings  ","Furniture and Equipment","Corporate and Support Services","I&C AVA Services","4066"
"2017-06-27","ZAV274484","3","10809","e-safe Systems Limited","210000","Furniture & Soft Furnishings  ","Furniture and Equipment","Corporate and Support Services","I&C AVA Services","450"
"2017-04-06","ZES270958","1","4105","QA Ltd","260000","Human Resources  ","Staff Training","Corporate and Support Services","Digital by Design Technical","3196"
"2017-04-06","ZES270958","2","4105","QA Ltd","260000","Human Resources  ","Staff Training","Corporate and Support Services","Digital by Design Technical","3196"
"2017-04-06","ZES270958","3","4105","QA Ltd","260000","Human Resources  ","Staff Training","Corporate and Support Services","Digital by Design Technical","1892"
"2017-04-06","ZES270958","4","4105","QA Ltd","260000","Human Resources  ","Staff Training","Corporate and Support Services","Digital by Design Technical","10090"
"2017-04-18","ZES271354","1","6281","SUDLOWS","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","I&C Infrastructure","7080.04"
"2017-04-25","ZES271723","1","8861","Adam Continuity","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","IT Infrastructure","6848"
"2017-04-25","ZES271786","1","1586","Kana Software Ireland Limited","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","I&C Systems","28475"
"2017-05-25","ZES273168","1","4105","QA Ltd","260000","Human Resources  ","Staff Training","Corporate and Support Services","Digital by Design Technical","9000"
"2017-05-26","ZES273189","1","2927","XMA Ltd","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","IT Infrastructure","154940"
"2017-05-26","ZES273207","1","9035","Mavoda LLP","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","IT Trade (Stockport Homes)","25216.9"
"2017-05-30","ZES273263","1","7563","Satisnet Ltd","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","I&C Infrastructure","11109"
"2017-06-02","ZES273447","1","2927","XMA Ltd","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","IT Infrastructure","87038.5"
"2017-06-21","ZES274183","1","1586","Kana Software Ireland Limited","260000","Human Resources  ","Staff Training","Corporate and Support Services","Digital by Design Technical","4500"
"2017-06-21","ZES274183","2","1586","Kana Software Ireland Limited","260000","Human Resources  ","Staff Training","Corporate and Support Services","Digital by Design Technical","900"
"2017-04-18","ZFC271380","1","3670","Alliance Disposables","130000","Cleaning & Janitorial  ","Cleaning","Corporate and Support Services","SPB Operational Estate","11031"
"2017-04-18","ZFC271380","2","3670","Alliance Disposables","130000","Cleaning & Janitorial  ","Cleaning","Corporate and Support Services","SPB Operational Estate","692.64"
"2017-04-18","ZFC271380","3","3670","Alliance Disposables","130000","Cleaning & Janitorial  ","Cleaning","Corporate and Support Services","SPB Operational Estate","300"
"2017-04-20","ZFC271545","1","2438","J Greenwood (Builders) Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Marple Hall Senior Citizens Hall - Roof","51674"
"2017-04-26","ZFC271829","1","10780","Permicoat Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Meadowbank Prim. Junior Block Flat Roof Replacemen","127456"
"2017-04-27","ZFC271914","1","2479","JR Foy and Son Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","BSD Emergency PECOS Code","20958"
"2017-04-28","ZFC271951","1","2438","J Greenwood (Builders) Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","BSD Emergency PECOS Code","98929"
"2017-04-28","ZFC271955","1","11085","Keelagher Okey Klein","150000","Consultancy   ","Professional Fees","Capital Expenditure","Borough Care  - Shepley House","8060"
"2017-04-28","ZFC271958","1","11085","Keelagher Okey Klein","150000","Consultancy   ","Professional Fees","Capital Expenditure","Borough Care  - Booth Street","8303"
"2017-05-08","ZFC272341","1","11085","Keelagher Okey Klein","150000","Consultancy   ","Professional Fees","Corporate and Support Services","Merseyway Development Project","34665.7"
"2017-05-12","ZFC272667","1","10947","Willmott Dixon Holdings Lim","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Brinnington Sports Centre","4866860"
"2017-05-15","ZFC272690","1","930","PHS Group Plc","130000","Cleaning & Janitorial  ","Cleaning","Corporate and Support Services","SPB Operational Estate","4753.32"
"2017-05-15","ZFC272690","2","930","PHS Group Plc","130000","Cleaning & Janitorial  ","Cleaning","Corporate and Support Services","SPB Operational Estate","7449"
