Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS
03/04/2017,ZAV270781,1,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"6,005.40",400110,11417
21/04/2017,ZAV271567,1,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"15,250.00",400110,11417
27/04/2017,ZAV271915,1,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"18,016.20",400110,11417
12/05/2017,ZAV272623,1,10809,e-safe Systems Limited,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"36,511.75",400105,11417
27/06/2017,ZAV274484,1,10809,e-safe Systems Limited,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"2,563.00",400105,11417
27/06/2017,ZAV274484,2,10809,e-safe Systems Limited,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"4,066.00",400105,11417
27/06/2017,ZAV274484,3,10809,e-safe Systems Limited,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,450,400105,11417
06/04/2017,ZES270958,1,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,Digital by Design Technical,"3,196.00",102020,11078
06/04/2017,ZES270958,2,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,Digital by Design Technical,"3,196.00",102020,11078
06/04/2017,ZES270958,3,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,Digital by Design Technical,"1,892.00",102020,11078
06/04/2017,ZES270958,4,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,Digital by Design Technical,"10,090.00",102020,11078
18/04/2017,ZES271354,1,6281,SUDLOWS,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Infrastructure,"7,080.04",402001,11324
25/04/2017,ZES271723,1,8861,Adam Continuity,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"6,848.00",402001,11324
25/04/2017,ZES271786,1,1586,Kana Software Ireland Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Systems,"28,475.01",402002,12503
25/05/2017,ZES273168,1,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,Digital by Design Technical,"9,000.00",102020,11078
26/05/2017,ZES273189,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"154,939.85",402001,11324
26/05/2017,ZES273207,1,9035,Mavoda LLP,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),"25,216.95",402001,12106
30/05/2017,ZES273263,1,7563,Satisnet Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Infrastructure,"11,109.00",402002,11324
02/06/2017,ZES273447,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"87,038.51",402001,11324
21/06/2017,ZES274183,1,1586,Kana Software Ireland Limited,260000,Human Resources  ,Staff Training,Corporate and Support Services,Digital by Design Technical,"4,500.00",102020,11078
21/06/2017,ZES274183,2,1586,Kana Software Ireland Limited,260000,Human Resources  ,Staff Training,Corporate and Support Services,Digital by Design Technical,900,102020,11078
18/04/2017,ZFC271380,1,3670,Alliance Disposables,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,"11,031.00",201607,11662
18/04/2017,ZFC271380,2,3670,Alliance Disposables,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,692.64,201607,11662
18/04/2017,ZFC271380,3,3670,Alliance Disposables,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,300,201607,11662
20/04/2017,ZFC271545,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Marple Hall Senior Citizens Hall - Roof,"51,674.00",200311,C.11502.050
26/04/2017,ZFC271829,1,10780,Permicoat Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Meadowbank Prim. Junior Block Flat Roof Replacemen,"127,455.99",200311,C.10395.225
27/04/2017,ZFC271914,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,BSD Emergency PECOS Code,"20,958.02",200311,C.00405
28/04/2017,ZFC271951,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,BSD Emergency PECOS Code,"98,929.00",200311,C.00405
28/04/2017,ZFC271955,1,11085,Keelagher Okey Klein,150000,Consultancy   ,Professional Fees,Capital Expenditure,Borough Care  - Shepley House,"8,060.00",401020,C.01073.009
28/04/2017,ZFC271958,1,11085,Keelagher Okey Klein,150000,Consultancy   ,Professional Fees,Capital Expenditure,Borough Care  - Booth Street,"8,303.00",401020,C.01073.011
08/05/2017,ZFC272341,1,11085,Keelagher Okey Klein,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Merseyway Development Project,"34,665.70",401020,12939
12/05/2017,ZFC272667,1,10947,Willmott Dixon Holdings Lim,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Brinnington Sports Centre,"4,866,861.00",200311,C.10875
15/05/2017,ZFC272690,1,930,PHS Group Plc,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,"4,753.32",201607,11662
15/05/2017,ZFC272690,2,930,PHS Group Plc,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,"7,449.00",201607,11662
15/05/2017,ZFC272690,3,930,PHS Group Plc,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,605.28,201607,11662
15/05/2017,ZFC272692,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,C & YP Emergency PECOS Code,"19,986.00",200311,C.00400
22/05/2017,ZFC272956,1,2388,Young & Company,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Hatworks - Roof repairs,"24,574.00",200311,C.11502.059
23/05/2017,ZFC273038,1,4482,Waste Solutions SK Ltd,182000,Environmental Services Waste Management ,Waste Management,Corporate and Support Services,SPB Operational Estate,"43,476.00",201804,11662
31/05/2017,ZFC273344,1,9543,Carillion (AMBS) Ltd,150000,Consultancy   ,Professional Fees,Capital Expenditure,Community Sports Facility and car park,"19,250.00",401020,C.11423
08/06/2017,ZFC273647,1,1799,Stockport Homes,370000,Utilities   ,Utilities,Corporate and Support Services,SPB Operational Estate,"45,000.00",200550,11662
19/06/2017,ZFC274050,1,11145,H Timmins Group Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Brinnington Family Centre - Roof,"12,767.50",200311,C.11502.062
29/06/2017,ZFC274626,1,4704,CPL Heating and Plumbing,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Moss Hey Prim. Fan Convector Replacement,"87,073.00",200311,C.10341.221
30/06/2017,ZFC274678,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"22,756.68",200159,11662
30/06/2017,ZFC274678,2,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"43,865.88",200106,11662
30/06/2017,ZFC274678,3,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"44,073.48",200159,11662
