Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area ,Net Order Value Over £5000.00 
2017-07-04,ZAV274848,1,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,8997.00
2017-07-04,ZAV274848,2,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,120.00
2017-07-04,ZAV274848,3,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,135.00
2017-07-04,ZAV274848,4,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,675.00
2017-07-04,ZAV274848,5,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,327.00
2017-07-04,ZAV274848,6,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,120.00
2017-07-19,ZES275551,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Traded Services,173.25
2017-07-19,ZES275551,2,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (SSK),19320.00
2017-07-19,ZES275551,3,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (SSK),1400.00
2017-07-19,ZES275552,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Trade (SSK),9796.62
2017-07-19,ZES275552,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Traded Services,2005.83
2017-07-28,ZES276044,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),3196.00
2017-07-28,ZES276044,2,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),7280.00
2017-07-28,ZES276044,3,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),2544.00
2017-07-28,ZES276044,4,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),19.95
2017-07-28,ZES276047,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Transformation Fund-Enablers,42.00
2017-07-28,ZES276047,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Transformation Fund-Enablers,42.00
2017-07-28,ZES276047,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Transformation Fund-Enablers,7210.32
2017-07-28,ZES276047,4,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Transformation Fund-Enablers,912.00
2017-08-04,ZES276416,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,6350.28
2017-08-07,ZES276471,1,2718,Virgin Media Business,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Trade (Stockport Homes),15520.75
2017-08-08,ZES276642,1,5814,Prosperon Networks Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Infrastructure,18431.94
2017-08-16,ZES276981,1,9353,Capita IT Services t/a NTS (UK,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Schools Email & Internet,190.79
2017-08-16,ZES276981,2,9353,Capita IT Services t/a NTS (UK,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Schools Email & Internet,81.30
2017-08-16,ZES276981,3,9353,Capita IT Services t/a NTS (UK,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Schools Email & Internet,3236.21
2017-08-16,ZES276981,4,9353,Capita IT Services t/a NTS (UK,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Schools Email & Internet,27.10
2017-08-16,ZES276981,5,9353,Capita IT Services t/a NTS (UK,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Schools Email & Internet,325.20
2017-08-16,ZES276981,6,9353,Capita IT Services t/a NTS (UK,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Schools Email & Internet,1897.28
2017-08-16,ZES276981,7,9353,Capita IT Services t/a NTS (UK,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Schools Email & Internet,995.00
2017-09-05,ZES277882,1,2718,Virgin Media Business,270000,Information Communication Technology  ,Information and Communications Technology,Capital Expenditure,ICT Phone UC System,16176.65
2017-09-06,ZES277925,1,5740,ANS Group Plc,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,6954.52
2017-07-06,ZFC274987,1,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Corporate and Support Services,SPB Operational Estate,9599.65
2017-07-06,ZFC275042,1,3529,Solutions SK Ltd,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,684011.17
2017-07-17,ZFC275461,1,8832,Safe and Secure Solutions Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,School Closure Costs - Primary,19200.00
2017-07-18,ZFC275536,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Heaton Spec. Sch Double Mobile,10000.00
2017-07-19,ZFC275561,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Energy Capital Programme - AMP,10000.00
2017-07-19,ZFC275595,1,8842,Hill Property Services Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Heaton Spec. Sch Double Mobile,66890.00
2017-07-26,ZFC275949,1,4756,Eurolink Modular Buildings Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Oakgrove Single Mobile,189978.00
2017-07-26,ZFC275957,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Corporate buildings - demolition of 103,21935.00
2017-07-26,ZFC275966,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Lapwing Centre - Roof,36443.00
2017-07-27,ZFC276002,1,9543,Carillion (AMBS) Ltd,150000,Consultancy   ,Professional Fees,Capital Expenditure,Community Sports Facility and car park,25652.43
2017-08-03,ZFC276365,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,7156.64
2017-08-07,ZFC276469,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Valley Spec.Nursery remodelling,48796.65
2017-08-09,ZFC276735,1,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Corporate and Support Services,SPB - Investment Estate,45193.00
2017-08-11,ZFC276814,1,8424,RMD Contracts Limited,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Great Moor Inf Boiler,105622.00
2017-08-11,ZFC276828,1,5231,GABLES (UK) LTD,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Oakgrove Roof,179690.00
2017-08-14,ZFC276902,1,11169,MCI DEVELOPMENTS LIMITED,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Community Sports Facility and car park,49339.33
2017-08-22,ZFC277303,1,12224,Aspect Plumbing & Heating Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Queensgate Prim. Fan Convectors,45187.92
2017-08-22,ZFC277304,1,12231,Booth Hill Demolition Ltd,181000,Environmental Services Demolition & Asbestos Removal ,Capital Expenditure - Works,Capital Expenditure,Corporate buildings - demolition of 103,136381.00
2017-09-28,ZFC279167,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Leisure Strategy - Capital Works on Centres,498409.81
2017-08-07,ZHS276488,1,12169,Procure Plus Ltd,999999,Acquisition of Land and Buildings,Capital Expenditure - Acquisitions,Capital Expenditure,St Thomas' Hospital - On Costs,80000.00
2017-07-04,ZHT274805,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Town Hall - Roof fabric,14380.00
2017-07-04,ZHT274820,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Capital Works on Leisure Centres - Avondale,5427.08
2017-07-10,ZHT275097,1,10780,Permicoat Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Gen-Prim.Essential H&S Works,10756.00
2017-07-17,ZHT275436,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Stopford House - water tight bund wall,36494.00
2017-07-18,ZHT275523,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Capital Works on Leisure Centres - Hazel Grove,7936.70
2017-07-18,ZHT275524,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Capital Works on Leisure Centres - Avondale,5427.08
2017-07-25,ZHT275834,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Stopford House - Car Park storage areas,19524.00
2017-08-02,ZHT276304,1,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Non-General Fund Items,Council House Insurance -Fire Claims,9975.00
2017-08-03,ZHT276374,1,4756,Eurolink Modular Buildings Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Highfields Pru Mobile Accommodation,52568.00
2017-08-11,ZHT276820,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Town Hall - Council Chamber seating and panelling,26797.50
2017-09-21,ZHT278778,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Park Buildings/Changing rooms - H&S Issues,5000.00
2017-09-21,ZHT278837,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Park Buildings/Changing rooms - H&S Issues,5000.00
2017-09-21,ZHT278838,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Park Buildings/Changing rooms - H&S Issues,5000.00
2017-09-27,ZHT279063,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Libraries - refurbishment,5642.00
2017-09-28,ZHT279187,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Marple Council Offices - perimeter windows/brickwo,21993.00
2017-07-10,ZSA275154,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,PH-Programme Management,4326300.00
2017-07-12,ZSA275258,1,9500,Pinnacle Health Partnership,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Intelligence,6213.00
2017-07-17,ZSA275476,1,1382,Pure Innovations Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to People,Pure Innovations,102000.00
