Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area ,Net Order Value Over £5000.00 
2018-12-28,ZZP654430,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Capital Expenditure,Trash Screens/Watercourses - On Site,7988.67
2018-12-28,ZZP654435,1,10959,Canvas Spaces Limited,240000,Horticultural  ,Grounds Maintenance,Capital Expenditure,Schemes In Parks,52750.00
2018-12-28,ZSH654428,1,4107,arc4 Limited,150000,Consultancy   ,Professional Fees,Services to Place,Housing Strategy,20000.00
2018-12-27,ZZP654417,1,10315,Grant Thornton UK LLP,201100,Financial Services Audit ,Professional Fees,Corporate and Support Services,U-Misc Finance-Corporate Management,12680.00
2018-12-27,ZZP654412,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Capital Expenditure,5078 Astley St/Swaine St - TFGM Mersey Bridge - On,589077.75
2018-12-27,ZZP654415,1,8817,AECOM Infrastructure & Environ,150000,Consultancy   ,Professional Fees,Capital Expenditure,STCAP 801 Travis Brow/ A6 Link and George’s Rd - D,8300.00
2018-12-21,ZSB654368,1,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,123.55
2018-12-21,ZSB654368,2,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,394.25
2018-12-21,ZSB654368,3,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,540.53
2018-12-21,ZSB654368,4,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,382.37
2018-12-21,ZSB654368,5,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,402.10
2018-12-21,ZSB654368,6,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,467.35
2018-12-21,ZSB654368,7,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,429.07
2018-12-21,ZSB654368,8,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,124.94
2018-12-21,ZSB654368,9,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,124.94
2018-12-21,ZSB654368,10,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,609.66
2018-12-21,ZSB654368,11,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,444.52
2018-12-21,ZSB654368,12,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,375.95
2018-12-21,ZSB654368,13,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,375.95
2018-12-21,ZSB654368,14,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,322.79
2018-12-21,ZSB654368,15,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,218.80
2018-12-21,ZSB654368,16,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,437.45
2018-12-21,ZSB654368,17,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,524.94
2018-12-21,ZSB654368,18,9547,TOTAL GAS & POWER LTD,370000,Utilities   ,Utilities,Services to People,ACE,141.92
2018-12-21,ZSA654400,1,4617,Creative Support Ltd,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Tenancy Options Phase 10 Creative Support,20000.00
2018-12-21,ZSA654399,1,10721,Fitzroy Support,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Tenancy Options Phase 6 Fitzroy Support,10000.00
