Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area ,Net Order Value Over £5000.00 
2018-04-04,ZAV288150,1,1162,RM Education plc,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,15250.00
2018-04-13,ZAV288959,1,4512,Redstor Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,26880.00
2018-05-04,ZAV290238,1,10809,e-safe Systems Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,41775.25
2018-05-04,ZAV290238,2,10809,e-safe Systems Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,4461.20
2018-05-04,ZAV290238,3,10809,e-safe Systems Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,450.00
2018-05-31,ZAV291577,1,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,4300.00
2018-05-31,ZAV291577,2,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,240.00
2018-05-31,ZAV291577,3,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,198.00
2018-05-31,ZAV291577,4,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,218.00
2018-05-31,ZAV291577,5,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,36.00
2018-05-31,ZAV291577,6,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,160.00
2018-05-31,ZAV291577,7,5535,Elementary Technology Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,60.00
2018-06-21,ZAV292603,1,5535,Elementary Technology Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,4300.00
2018-06-21,ZAV292603,2,5535,Elementary Technology Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,240.00
