Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area ,Net Order Value Over £5000.00 
2019-04-02,ZZS659237,1,3771,Warrington MBC,280000,Legal Services  ,Legal Fees,Corporate and Support Services,Legal Services,7923.68
2019-04-11,ZZS659916,1,12978,Mills & Reeve LLP (office acco,280000,Legal Services  ,Legal Fees,Corporate and Support Services,Legal Fees Budget,5000.00
2019-05-22,ZZS661996,1,12582,LISA HOUGHTON - Legal/Law,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Fees Budget,6335.00
2019-04-25,ZSB660641,1,12221,Heads HR Ltd,150000,Consultancy   ,Professional Fees,Services to People,Highfields PRU,7000.00
2019-05-08,ZSB661234,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,Highfields PRU,7299.65
2019-05-08,ZSB661226,1,3529,Totally Local Company Ltd,111200,Catering Food & Beverages ,Catering Supplies,Services to People,Highfields PRU,4236.43
2019-05-08,ZSB661226,2,3529,Totally Local Company Ltd,111200,Catering Food & Beverages ,Catering Supplies,Services to People,Highfields PRU,3805.73
2019-04-11,ZAV659822,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,5565.60
2019-04-11,ZAV659822,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,150.00
2019-04-11,ZAV659822,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,510.00
2019-04-15,ZAV660084,1,1162,RM Education plc,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Service,15452.00
2019-04-30,ZAV660890,1,4512,Redstor Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Service,26880.00
2019-05-02,ZAV660995,1,2927,XMA Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,9474.08
2019-05-15,ZAV661658,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,6528.00
2019-05-15,ZAV661658,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,480.00
2019-05-15,ZAV661658,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,160.00
2019-05-15,ZAV661658,4,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,544.00
2019-05-15,ZAV661658,5,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,800.00
2019-05-31,ZAV662486,1,10809,e-safe Global Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,43989.00
2019-05-31,ZAV662486,2,10809,e-safe Global Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,434.50
2019-05-31,ZAV662486,3,10809,e-safe Global Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,450.00
2019-05-31,ZAV662486,4,10809,e-safe Global Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,9093.40
2019-05-31,ZAV662486,5,10809,e-safe Global Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,515.63
2019-06-20,ZAV663523,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,7836.00
2019-04-04,ZSA659419,1,7472,Oldham Council,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Services to People,Grants Learning Dis,9000.00
2019-04-04,ZSA659451,1,9715,NHS Stockport CCG,260000,Human Resources  ,Other Payments,Services to People,iBCF,5313.42
2019-04-02,ZSA659238,1,11362,Gill Frame,999999,Fees and Charges,Fees and Charges,Services to People,SA Board,15000.00
2019-04-10,ZSA659808,1,2632,Concept Elevators NW Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,Dis Svce:Domest Lift,44596.10
2019-04-10,ZSA659805,1,10036,Social Lettings Stockport Home,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Extra Care Hsg Block,21169.08
2019-04-09,ZSA659628,1,1799,Stockport Homes,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,iBCF,5764.88
2019-04-10,ZSA659811,1,1104,Age UK Stockport,150000,Consultancy   ,Professional Fees,Services to People,Supp. at Home (WIN),270000.00
