Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area ,Net Order Value Over £5000.00 
2018-09-30,ZZP650078,1,8817,AECOM Infrastructure & Environ,150000,Consultancy   ,Professional Fees,Capital Expenditure,Principal Inspections - Feasibility,48187.25
2018-09-28,ZSA650067,1,9715,NHS Stockport CCG,260000,Human Resources  ,Other Payments,Services to People,Proactive Care,116193.00
2018-09-28,ZZP650022,1,5464,ELECTRICITY NORTH WEST LIMITED,230000,Highway Equipment & Materials    ,Highways Maintenance,Capital Expenditure,5078 Astley St/Swaine St - TFGM Mersey Bridge - On,8347.38
2018-09-27,ZZS297514,1,13125,18 St John Street Chambers,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Professional fees,7700.00
2018-09-27,ZZC297446,1,4083,Hulme Hall School,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Lea-Sen Independent School Fees,21024.86
2018-09-27,ZZC297525,1,4083,Hulme Hall School,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,Perip-Classroom Assistant - Learning Dif,5766.00
2018-09-26,ZAV297381,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,7214.00
2018-09-26,ZAV297381,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,1312.50
2018-09-26,ZAV297381,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,680.00
2018-09-26,ZAV297381,4,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,200.00
2018-09-26,ZZP297397,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Area East-Brabyns Park,5797.46
2018-09-26,ZZP297380,1,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,180.33
2018-09-26,ZZP297380,2,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,76.85
2018-09-26,ZZP297380,3,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,3150.68
2018-09-26,ZZP297380,4,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,29.70
2018-09-26,ZZP297380,5,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,307.38
